sim_time_s,bin,target_speed_mps,mode,cmd,speed_mps,actor_long_accel_mps2
11.946188,low,8.0000,brake,0.0050,7.998336,-0.037234
11.956188,low,8.0000,brake,0.0050,7.995538,-0.122136
11.966188,low,8.0000,brake,0.0050,7.990281,-0.263391
11.976188,low,8.0000,brake,0.0050,7.982245,-0.452439
11.986188,low,8.0000,brake,0.0050,7.971676,-0.664025
11.996188,low,8.0000,brake,0.0050,7.958849,-0.880564
12.006188,low,8.0000,brake,0.0050,7.944008,-1.091778
12.016188,low,8.0000,brake,0.0050,7.927373,-1.291886
12.026188,low,8.0000,brake,0.0050,7.909141,-1.477866
12.036188,low,8.0000,brake,0.0050,7.889485,-1.648555
12.046188,low,8.0000,brake,0.0050,7.868564,-1.803813
12.056188,low,8.0000,brake,0.0050,7.846517,-1.944118
12.066188,low,8.0000,brake,0.0050,7.823473,-2.070214
12.076188,low,8.0000,brake,0.0050,7.799543,-2.183169
12.086188,low,8.0000,brake,0.0050,7.774832,-2.283977
12.096188,low,8.0000,brake,0.0050,7.749426,-2.373786
12.106188,low,8.0000,brake,0.0050,7.723411,-2.453490
12.116188,low,8.0000,brake,0.0050,7.696862,-2.523957
12.126188,low,8.0000,brake,0.0050,7.669847,-2.586100
12.136188,low,8.0000,brake,0.0050,7.642421,-2.640879
12.146188,low,8.0000,brake,0.0050,7.614637,-2.689036
12.156188,low,8.0000,brake,0.0050,7.586543,-2.731136
12.166188,low,8.0000,brake,0.0050,7.558185,-2.767797
12.176188,low,8.0000,brake,0.0050,7.529598,-2.799588
12.186188,low,8.0000,brake,0.0050,7.500819,-2.826994
12.196188,low,8.0000,brake,0.0050,7.471881,-2.850399
12.206188,low,8.0000,brake,0.0050,7.442810,-2.870236
12.216188,low,8.0000,brake,0.0050,7.413633,-2.886851
12.226188,low,8.0000,brake,0.0050,7.384376,-2.900438
12.236188,low,8.0000,brake,0.0050,7.355059,-2.911389
12.246188,low,8.0000,brake,0.0050,7.325695,-2.920127
12.256188,low,8.0000,brake,0.0050,7.296304,-2.926790
12.266188,low,8.0000,brake,0.0050,7.266898,-2.931606
12.276188,low,8.0000,brake,0.0050,7.237493,-2.934719
12.286188,low,8.0000,brake,0.0050,7.208100,-2.936326
12.296188,low,8.0000,brake,0.0050,7.178729,-2.936585
12.306188,low,8.0000,brake,0.0050,7.149392,-2.935603
12.316188,low,8.0000,brake,0.0050,7.120094,-2.933545
12.326188,low,8.0000,brake,0.0050,7.090845,-2.930522
12.336188,low,8.0000,brake,0.0050,7.061654,-2.926538
12.346188,low,8.0000,brake,0.0050,7.032528,-2.921645
12.356188,low,8.0000,brake,0.0050,7.003469,-2.916145
12.366188,low,8.0000,brake,0.0050,6.974482,-2.910033
12.376188,low,8.0000,brake,0.0050,6.945572,-2.903390
12.386188,low,8.0000,brake,0.0050,6.916741,-2.896284
12.396188,low,8.0000,brake,0.0050,6.887993,-2.888745
12.406188,low,8.0000,brake,0.0050,6.859334,-2.880774
12.416188,low,8.0000,brake,0.0050,6.830763,-2.872489
12.426188,low,8.0000,brake,0.0050,6.802283,-2.863899
12.436188,low,8.0000,brake,0.0050,6.773898,-2.855027
12.446188,low,8.0000,brake,0.0050,6.745608,-2.845890
12.456188,low,8.0000,brake,0.0050,6.717418,-2.836479
12.466188,low,8.0000,brake,0.0050,6.689331,-2.826757
12.476188,low,8.0000,brake,0.0050,6.661343,-2.816983
12.486188,low,8.0000,brake,0.0050,6.633457,-2.807041
12.496188,low,8.0000,brake,0.0050,6.605673,-2.797041
12.506188,low,8.0000,brake,0.0050,6.577989,-2.786986
12.516188,low,8.0000,brake,0.0050,6.550410,-2.776812
12.526188,low,8.0000,brake,0.0050,6.522935,-2.766561
12.536188,low,8.0000,brake,0.0050,6.495564,-2.756242
12.546188,low,8.0000,brake,0.0050,6.468297,-2.745897
12.556188,low,8.0000,brake,0.0050,6.441136,-2.735484
12.566188,low,8.0000,brake,0.0050,6.414079,-2.725044
12.576188,low,8.0000,brake,0.0050,6.387128,-2.714570
12.586188,low,8.0000,brake,0.0050,6.360283,-2.704040
12.596188,low,8.0000,brake,0.0050,6.333549,-2.693323
12.606188,low,8.0000,brake,0.0050,6.306920,-2.682686
12.616188,low,8.0000,brake,0.0050,6.280395,-2.672100
12.626188,low,8.0000,brake,0.0050,6.253977,-2.661514
12.636188,low,8.0000,brake,0.0050,6.227663,-2.650978
12.646188,low,8.0000,brake,0.0050,6.201454,-2.640441
12.656188,low,8.0000,brake,0.0050,6.175350,-2.629937
12.666188,low,8.0000,brake,0.0050,6.149350,-2.619455
12.676188,low,8.0000,brake,0.0050,6.123454,-2.608986
12.686188,low,8.0000,brake,0.0050,6.097663,-2.598543
12.696188,low,8.0000,brake,0.0050,6.071975,-2.588117
12.706188,low,8.0000,brake,0.0050,6.046392,-2.577702
12.716188,low,8.0000,brake,0.0050,6.020911,-2.567327
12.726188,low,8.0000,brake,0.0050,5.995533,-2.556978
12.736188,low,8.0000,brake,0.0050,5.970260,-2.546596
12.746188,low,8.0000,brake,0.0050,5.945094,-2.536110
12.756188,low,8.0000,brake,0.0050,5.920030,-2.525722
12.766188,low,8.0000,brake,0.0050,5.895067,-2.515415
12.776188,low,8.0000,brake,0.0050,5.870205,-2.505194
12.786188,low,8.0000,brake,0.0050,5.845444,-2.495012
12.796188,low,8.0000,brake,0.0050,5.820783,-2.484873
12.806188,low,8.0000,brake,0.0050,5.796224,-2.474760
12.816188,low,8.0000,brake,0.0050,5.771763,-2.464699
12.826188,low,8.0000,brake,0.0050,5.747403,-2.454672
12.836188,low,8.0000,brake,0.0050,5.723142,-2.444682
12.846188,low,8.0000,brake,0.0050,5.698979,-2.434717
12.856188,low,8.0000,brake,0.0050,5.674915,-2.424819
12.866188,low,8.0000,brake,0.0050,5.650949,-2.414931
12.876188,low,8.0000,brake,0.0050,5.627082,-2.405065
12.886188,low,8.0000,brake,0.0050,5.603311,-2.395264
12.896188,low,8.0000,brake,0.0050,5.579638,-2.385489
12.906188,low,8.0000,brake,0.0050,5.556064,-2.375647
12.916188,low,8.0000,brake,0.0050,5.532590,-2.365762
12.926188,low,8.0000,brake,0.0050,5.509213,-2.355965
12.936188,low,8.0000,brake,0.0050,5.485929,-2.346293
12.946188,low,8.0000,brake,0.0050,5.462742,-2.336651
12.956188,low,8.0000,brake,0.0050,5.439649,-2.327063
12.966188,low,8.0000,brake,0.0050,5.416651,-2.317526
12.976188,low,8.0000,brake,0.0050,5.393747,-2.308022
12.986188,low,8.0000,brake,0.0050,5.370938,-2.298557
12.996188,low,8.0000,brake,0.0050,5.348220,-2.289184
13.006188,low,8.0000,brake,0.0050,5.325597,-2.279770
13.016188,low,8.0000,brake,0.0050,5.303066,-2.270447
13.026188,low,8.0000,brake,0.0050,5.280626,-2.261182
13.036188,low,8.0000,brake,0.0050,5.258280,-2.251855
13.046188,low,8.0000,brake,0.0050,5.236027,-2.242589
13.056188,low,8.0000,brake,0.0050,5.213862,-2.233445
13.066188,low,8.0000,brake,0.0050,5.191788,-2.224313
13.076188,low,8.0000,brake,0.0050,5.169806,-2.215173
13.086188,low,8.0000,brake,0.0050,5.147915,-2.206078
13.096188,low,8.0000,brake,0.0050,5.126112,-2.197029
13.106188,low,8.0000,brake,0.0050,5.104403,-2.187892
13.116188,low,8.0000,brake,0.0050,5.082783,-2.178849
13.126188,low,8.0000,brake,0.0050,5.061251,-2.169867
13.136188,low,8.0000,brake,0.0050,5.039808,-2.160924
13.146188,low,8.0000,brake,0.0050,5.018453,-2.152024
13.156188,low,8.0000,brake,0.0050,4.997186,-2.143133
13.166188,low,8.0000,brake,0.0050,4.976008,-2.134284
13.176188,low,8.0000,brake,0.0050,4.954917,-2.125462
13.186188,low,8.0000,brake,0.0050,4.933912,-2.116740
13.196188,low,8.0000,brake,0.0050,4.912994,-2.107983
13.206188,low,8.0000,brake,0.0050,4.892163,-2.099304
13.216188,low,8.0000,brake,0.0050,4.871417,-2.090658
13.226188,low,8.0000,brake,0.0050,4.850756,-2.082034
13.236188,low,8.0000,brake,0.0050,4.830181,-2.073475
13.246188,low,8.0000,brake,0.0050,4.809690,-2.064940
13.256188,low,8.0000,brake,0.0050,4.789284,-2.056422
13.266188,low,8.0000,brake,0.0050,4.768962,-2.047931
13.276188,low,8.0000,brake,0.0050,4.748725,-2.039441
13.286188,low,8.0000,brake,0.0050,4.728573,-2.030952
13.296188,low,8.0000,brake,0.0050,4.708505,-2.022530
13.306188,low,8.0000,brake,0.0050,4.688519,-2.014152
13.316188,low,8.0000,brake,0.0050,4.668615,-2.005819
13.326188,low,8.0000,brake,0.0050,4.648794,-1.997532
13.336188,low,8.0000,brake,0.0050,4.629054,-1.989291
13.346188,low,8.0000,brake,0.0050,4.609396,-1.981081
13.356188,low,8.0000,brake,0.0050,4.589818,-1.972907
13.366188,low,8.0000,brake,0.0050,4.570322,-1.964774
13.376188,low,8.0000,brake,0.0050,4.550905,-1.956666
13.386188,low,8.0000,brake,0.0050,4.531570,-1.948576
13.396188,low,8.0000,brake,0.0050,4.512315,-1.940514
13.406188,low,8.0000,brake,0.0050,4.493139,-1.932486
13.416188,low,8.0000,brake,0.0050,4.474045,-1.924414
13.426188,low,8.0000,brake,0.0050,4.455029,-1.916413
13.436188,low,8.0000,brake,0.0050,4.436092,-1.908476
13.446188,low,8.0000,brake,0.0050,4.417233,-1.900546
13.456188,low,8.0000,brake,0.0050,4.398452,-1.892705
13.466188,low,8.0000,brake,0.0050,4.379749,-1.884871
13.476188,low,8.0000,brake,0.0050,4.361123,-1.877075
13.486188,low,8.0000,brake,0.0050,4.342574,-1.869321
13.496188,low,8.0000,brake,0.0050,4.324102,-1.861577
13.506188,low,8.0000,brake,0.0050,4.305706,-1.853873
13.516188,low,8.0000,brake,0.0050,4.287387,-1.846195
13.526188,low,8.0000,brake,0.0050,4.269143,-1.838567
13.536188,low,8.0000,brake,0.0050,4.250974,-1.830973
13.546188,low,8.0000,brake,0.0050,4.232881,-1.823399
13.556188,low,8.0000,brake,0.0050,4.214865,-1.815772
13.566188,low,8.0000,brake,0.0050,4.196923,-1.808195
13.576188,low,8.0000,brake,0.0050,4.179057,-1.800649
13.586188,low,8.0000,brake,0.0050,4.161264,-1.793174
13.596188,low,8.0000,brake,0.0050,4.143544,-1.785746
13.606188,low,8.0000,brake,0.0050,4.125898,-1.778347
13.616188,low,8.0000,brake,0.0050,4.108325,-1.770984
13.626188,low,8.0000,brake,0.0050,4.090826,-1.763628
13.636188,low,8.0000,brake,0.0050,4.073398,-1.756310
13.646188,low,8.0000,brake,0.0050,4.056043,-1.749033
13.656188,low,8.0000,brake,0.0050,4.038760,-1.741783
13.666188,low,8.0000,brake,0.0050,4.021548,-1.734567
13.676188,low,8.0000,brake,0.0050,4.004408,-1.727373
13.686188,low,8.0000,brake,0.0050,3.987340,-1.720193
13.696188,low,8.0000,brake,0.0050,3.970342,-1.713057
13.706188,low,8.0000,brake,0.0050,3.953414,-1.705948
