time_s,throttle,throttle_delta,brake,speed,accel_x
470.6000,0.5465,0.0000,0.0000,16.6965,-0.0769
482.0300,0.6568,-0.0314,0.0000,27.7247,-0.0309
482.0400,0.6568,-0.0314,0.0000,27.7249,-0.0240
482.0500,0.6568,-0.0314,0.0000,27.7249,0.0019
482.0600,0.6568,-0.0314,0.0000,27.7246,0.0322
482.0700,0.6568,-0.0314,0.0000,27.7240,0.0607
482.0800,0.6568,-0.0314,0.0000,27.7231,0.0875
482.0900,0.6568,-0.0314,0.0000,27.7220,0.1135
482.1000,0.6568,-0.0314,0.0000,27.7206,0.1368
482.1100,0.6568,-0.0314,0.0000,27.7190,0.1589
482.1200,0.6568,-0.0314,0.0000,27.7172,0.1799
482.1300,0.6568,-0.0314,0.0000,27.7152,0.1995
482.1400,0.6568,-0.0314,0.0000,27.7130,0.2182
482.1500,0.6568,-0.0314,0.0000,27.7107,0.2354
482.1600,0.6568,-0.0314,0.0000,27.7082,0.2518
482.1700,0.6568,-0.0314,0.0000,27.7055,0.2670
482.1800,0.6568,-0.0314,0.0000,27.7027,0.2815
482.1900,0.6568,-0.0314,0.0000,27.6997,0.2949
482.2000,0.6568,-0.0314,0.0000,27.6967,0.3077
482.2100,0.6568,-0.0314,0.0000,27.6935,0.3197
482.2200,0.6568,-0.0314,0.0000,27.6902,0.3281
482.2300,0.6568,-0.0314,0.0000,27.6868,0.3384
482.2400,0.6568,-0.0314,0.0000,27.6833,0.3477
482.2500,0.6568,-0.0314,0.0000,27.6797,0.3567
482.2600,0.6568,-0.0314,0.0000,27.6761,0.3651
482.2700,0.6568,-0.0314,0.0000,27.6724,0.3729
482.2800,0.6568,-0.0314,0.0000,27.6686,0.3807
482.2900,0.6568,-0.0314,0.0000,27.6647,0.3874
482.3000,0.6568,-0.0314,0.0000,27.6607,0.3942
482.3100,0.6568,-0.0314,0.0000,27.6567,0.4005
482.3200,0.6568,-0.0314,0.0000,27.6527,0.4059
482.3300,0.6568,-0.0314,0.0000,27.6486,0.4103
482.3400,0.6568,-0.0314,0.0000,27.6444,0.4158
482.3500,0.6568,-0.0314,0.0000,27.6402,0.4206
482.3600,0.6568,-0.0314,0.0000,27.6360,0.4253
482.3700,0.6568,-0.0314,0.0000,27.6317,0.4297
482.3800,0.6568,-0.0314,0.0000,27.6273,0.4333
482.3900,0.6568,-0.0314,0.0000,27.6230,0.4366
482.4000,0.6568,-0.0314,0.0000,27.6186,0.4406
482.4100,0.6568,-0.0314,0.0000,27.6141,0.4433
482.4200,0.6568,-0.0314,0.0000,27.6097,0.4461
482.4300,0.6568,-0.0314,0.0000,27.6052,0.4486
482.4400,0.6568,-0.0314,0.0000,27.6007,0.4513
482.4500,0.6568,-0.0314,0.0000,27.5961,0.4534
482.4600,0.6568,-0.0314,0.0000,27.5916,0.4553
482.4700,0.6568,-0.0314,0.0000,27.5870,0.4568
482.4800,0.6568,-0.0314,0.0000,27.5824,0.4589
482.4900,0.6568,-0.0314,0.0000,27.5778,0.4604
482.5000,0.6568,-0.0314,0.0000,27.5732,0.4614
482.5100,0.6568,-0.0314,0.0000,27.5686,0.4633
482.5200,0.6568,-0.0314,0.0000,27.5639,0.4639
482.5300,0.6568,-0.0314,0.0000,27.5593,0.4650
482.5400,0.6568,-0.0314,0.0000,27.5546,0.4663
482.5500,0.6568,-0.0314,0.0000,27.5500,0.4663
482.5600,0.6568,-0.0314,0.0000,27.5453,0.4675
482.5700,0.6568,-0.0314,0.0000,27.5406,0.4686
482.5800,0.6568,-0.0314,0.0000,27.5360,0.4616
482.5900,0.6568,-0.0314,0.0000,27.5314,0.4549
482.6000,0.6568,-0.0314,0.0000,27.5269,0.4541
482.6100,0.6568,-0.0314,0.0000,27.5224,0.4517
482.6200,0.6568,-0.0314,0.0000,27.5179,0.4517
482.6300,0.6568,-0.0314,0.0000,27.5133,0.4517
482.6400,0.6568,-0.0314,0.0000,27.5088,0.4517
482.6500,0.6568,-0.0314,0.0000,27.5043,0.4517
482.6600,0.6568,-0.0314,0.0000,27.4998,0.4517
482.6700,0.6568,-0.0314,0.0000,27.4953,0.4517
482.6800,0.6568,-0.0314,0.0000,27.4908,0.4517
482.6900,0.6568,-0.0314,0.0000,27.4863,0.4469
482.7000,0.6568,-0.0314,0.0000,27.4818,0.4475
482.7100,0.6568,-0.0314,0.0000,27.4773,0.4492
482.7200,0.6568,-0.0314,0.0000,27.4728,0.4515
482.7300,0.6568,-0.0314,0.0000,27.4683,0.4517
482.7400,0.6568,-0.0314,0.0000,27.4638,0.4517
482.7500,0.6568,-0.0314,0.0000,27.4592,0.4541
482.7600,0.6568,-0.0314,0.0000,27.4547,0.4539
482.7700,0.6568,-0.0314,0.0000,27.4501,0.4541
482.7800,0.6568,-0.0314,0.0000,27.4456,0.4541
482.7900,0.6568,-0.0314,0.0000,27.4411,0.4511
482.8000,0.6568,-0.0314,0.0000,27.4366,0.4494
482.8100,0.6568,-0.0314,0.0000,27.4321,0.4492
482.8200,0.6568,-0.0314,0.0000,27.4276,0.4492
482.8300,0.6568,-0.0314,0.0000,27.4232,0.4436
482.8400,0.6568,-0.0314,0.0000,27.4189,0.4263
482.8500,0.6568,-0.0314,0.0000,27.4147,0.4206
482.8600,0.6568,-0.0314,0.0000,27.4105,0.4166
482.8700,0.6568,-0.0314,0.0000,27.4064,0.4133
482.8800,0.6568,-0.0314,0.0000,27.4023,0.4108
482.8900,0.6568,-0.0314,0.0000,27.3982,0.4095
482.9000,0.6568,-0.0314,0.0000,27.3941,0.4076
482.9100,0.6568,-0.0314,0.0000,27.3901,0.4078
482.9200,0.6568,-0.0314,0.0000,27.3860,0.4061
482.9300,0.6568,-0.0314,0.0000,27.3819,0.4051
482.9400,0.6568,-0.0314,0.0000,27.3779,0.4005
482.9500,0.6568,-0.0314,0.0000,27.3739,0.3988
482.9600,0.6568,-0.0314,0.0000,27.3699,0.4021
482.9700,0.6568,-0.0314,0.0000,27.3659,0.4051
