time_s,throttle,throttle_delta,brake,speed,accel_x
10.0500,0.3235,-0.0090,0.0000,5.5916,0.0071
10.0600,0.3235,-0.0090,0.0000,5.5103,0.0194
10.0700,0.3235,-0.0090,0.0000,5.5783,0.0143
10.0800,0.3235,-0.0090,0.0000,5.4732,0.0014
10.0900,0.3235,-0.0090,0.0000,5.5920,0.0059
10.1000,0.3235,-0.0090,0.0000,5.5110,0.0182
10.1100,0.3235,-0.0090,0.0000,5.5791,0.0134
10.1200,0.3235,-0.0090,0.0000,5.4741,0.0008
10.1300,0.3235,-0.0090,0.0000,5.5932,0.0057
10.1400,0.3235,-0.0090,0.0000,5.5125,0.0186
10.1500,0.3235,-0.0090,0.0000,5.5806,0.0144
10.1600,0.3235,-0.0090,0.0000,5.4758,0.0024
10.1700,0.3235,-0.0090,0.0000,5.5951,0.0079
10.1800,0.3235,-0.0090,0.0000,5.5146,0.0214
10.1900,0.3235,-0.0090,0.0000,5.5827,0.0176
10.2000,0.3235,-0.0090,0.0000,5.4779,0.0060
10.2100,0.3235,-0.0090,0.0000,5.5975,0.0120
10.2200,0.3235,-0.0090,0.0000,5.5172,0.0259
10.2300,0.3235,-0.0090,0.0000,5.5852,0.0224
10.2400,0.3235,-0.0090,0.0000,5.4805,0.0109
10.2500,0.3235,-0.0090,0.0000,5.6002,0.0171
10.2600,0.3235,-0.0090,0.0000,5.5200,0.0313
10.2700,0.3235,-0.0090,0.0000,5.5880,0.0278
10.2800,0.3235,-0.0090,0.0000,5.4833,0.0165
10.2900,0.3235,-0.0090,0.0000,5.6031,0.0227
10.3000,0.3235,-0.0090,0.0000,5.5231,0.0370
10.3100,0.3235,-0.0090,0.0000,5.5910,0.0336
10.3200,0.3235,-0.0090,0.0000,5.4864,0.0222
10.3300,0.3235,-0.0090,0.0000,5.6061,0.0284
10.3400,0.3235,-0.0090,0.0000,5.5262,0.0427
10.3500,0.3235,-0.0090,0.0000,5.5941,0.0393
10.3600,0.3235,-0.0090,0.0000,5.4895,0.0278
10.3700,0.3235,-0.0090,0.0000,5.6091,0.0339
10.3800,0.3235,-0.0090,0.0000,5.5292,0.0480
10.3900,0.3235,-0.0090,0.0000,5.5971,0.0444
10.4000,0.3235,-0.0090,0.0000,5.4926,0.0328
10.4100,0.3235,-0.0090,0.0000,5.6121,0.0387
10.4200,0.3235,-0.0090,0.0000,5.5322,0.0527
10.4300,0.3235,-0.0090,0.0000,5.6001,0.0490
10.4400,0.3235,-0.0090,0.0000,5.4957,0.0372
10.4500,0.3235,-0.0090,0.0000,5.6150,0.0429
10.4600,0.3235,-0.0090,0.0000,5.5351,0.0567
10.4700,0.3235,-0.0090,0.0000,5.6030,0.0528
10.4800,0.3235,-0.0090,0.0000,5.4987,0.0408
10.4900,0.3235,-0.0090,0.0000,5.6179,0.0464
10.5000,0.3235,-0.0090,0.0000,5.5380,0.0600
10.5100,0.3235,-0.0090,0.0000,5.6059,0.0560
10.5200,0.3235,-0.0090,0.0000,5.5017,0.0439
10.5300,0.3235,-0.0090,0.0000,5.6207,0.0493
10.5400,0.3235,-0.0090,0.0000,5.5408,0.0627
10.5500,0.3235,-0.0090,0.0000,5.6087,0.0586
10.5600,0.3235,-0.0090,0.0000,5.5046,0.0465
10.5700,0.3235,-0.0090,0.0000,5.6235,0.0518
10.5800,0.3235,-0.0090,0.0000,5.5437,0.0650
10.5900,0.3235,-0.0090,0.0000,5.6116,0.0608
10.6000,0.3235,-0.0090,0.0000,5.5075,0.0486
10.6100,0.3235,-0.0090,0.0000,5.6263,0.0538
10.6200,0.3235,-0.0090,0.0000,5.5466,0.0669
10.6300,0.3235,-0.0090,0.0000,5.6145,0.0626
10.6400,0.3235,-0.0090,0.0000,5.5105,0.0504
10.6500,0.3235,-0.0090,0.0000,5.6292,0.0556
10.6600,0.3235,-0.0090,0.0000,5.5494,0.0686
10.6700,0.3235,-0.0090,0.0000,5.6173,0.0643
10.6800,0.3235,-0.0090,0.0000,5.5134,0.0520
10.6900,0.3235,-0.0090,0.0000,5.6320,0.0571
10.7000,0.3235,-0.0090,0.0000,5.5522,0.0701
10.7100,0.3235,-0.0090,0.0000,5.6201,0.0657
10.7200,0.3235,-0.0090,0.0000,5.5163,0.0534
10.7300,0.3235,-0.0090,0.0000,5.6347,0.0583
10.7400,0.3235,-0.0090,0.0000,5.5549,0.0712
10.7500,0.3235,-0.0090,0.0000,5.6229,0.0667
10.7600,0.3235,-0.0090,0.0000,5.5191,0.0544
10.7700,0.3235,-0.0090,0.0000,5.6373,0.0593
10.7800,0.3235,-0.0090,0.0000,5.5575,0.0720
10.7900,0.3235,-0.0090,0.0000,5.6255,0.0675
10.8000,0.3235,-0.0090,0.0000,5.5219,0.0551
10.8100,0.3235,-0.0090,0.0000,5.6400,0.0599
10.8200,0.3235,-0.0090,0.0000,5.5602,0.0725
10.8300,0.3235,-0.0090,0.0000,5.6281,0.0679
10.8400,0.3235,-0.0090,0.0000,5.5245,0.0555
10.8500,0.3235,-0.0090,0.0000,5.6425,0.0602
10.8600,0.3235,-0.0090,0.0000,5.5628,0.0728
10.8700,0.3235,-0.0090,0.0000,5.6307,0.0682
10.8800,0.3235,-0.0090,0.0000,5.5272,0.0558
10.8900,0.3235,-0.0090,0.0000,5.6451,0.0605
10.9000,0.3235,-0.0090,0.0000,5.5654,0.0730
10.9100,0.3235,-0.0090,0.0000,5.6333,0.0683
10.9200,0.3235,-0.0090,0.0000,5.5299,0.0559
10.9300,0.3235,-0.0090,0.0000,5.6476,0.0606
10.9400,0.3235,-0.0090,0.0000,5.5679,0.0730
10.9500,0.3235,-0.0090,0.0000,5.6358,0.0683
10.9600,0.3235,-0.0090,0.0000,5.5325,0.0559
10.9700,0.3235,-0.0090,0.0000,5.6501,0.0605
10.9800,0.3235,-0.0090,0.0000,5.5704,0.0729
10.9900,0.3235,-0.0090,0.0000,5.6384,0.0682
11.0000,0.3235,-0.0090,0.0000,5.5351,0.0558
11.0100,0.3235,-0.0090,0.0000,5.6525,0.0604
11.0200,0.3235,-0.0090,0.0000,5.5728,0.0726
11.0300,0.3235,-0.0090,0.0000,5.6407,0.0679
11.0400,0.3235,-0.0090,0.0000,5.5376,0.0556
11.0500,0.3235,-0.0090,0.0000,5.6549,0.0601
11.0600,0.3235,-0.0090,0.0000,5.5752,0.0723
11.0700,0.3235,-0.0090,0.0000,5.6431,0.0676
11.0800,0.3235,-0.0090,0.0000,5.5400,0.0552
11.0900,0.3235,-0.0090,0.0000,5.6572,0.0596
11.1000,0.3235,-0.0090,0.0000,5.5775,0.0718
11.1100,0.3235,-0.0090,0.0000,5.6455,0.0671
11.1200,0.3235,-0.0090,0.0000,5.5425,0.0547
11.1300,0.3235,-0.0090,0.0000,5.6595,0.0592
11.1400,0.3235,-0.0090,0.0000,5.5799,0.0713
11.1500,0.3235,-0.0090,0.0000,5.6479,0.0666
11.1600,0.3235,-0.0090,0.0000,5.5449,0.0543
11.1700,0.3235,-0.0090,0.0000,5.6619,0.0587
11.1800,0.3235,-0.0090,0.0000,5.5823,0.0709
11.1900,0.3235,-0.0090,0.0000,5.6502,0.0662
11.2000,0.3235,-0.0090,0.0000,5.5473,0.0539
11.2100,0.3235,-0.0090,0.0000,5.6642,0.0583
11.2200,0.3235,-0.0090,0.0000,5.5846,0.0704
11.2300,0.3235,-0.0090,0.0000,5.6526,0.0658
11.2400,0.3235,-0.0090,0.0000,5.5497,0.0535
11.2500,0.3235,-0.0090,0.0000,5.6665,0.0579
11.2600,0.3235,-0.0090,0.0000,5.5869,0.0700
11.2700,0.3235,-0.0090,0.0000,5.6549,0.0653
11.2800,0.3235,-0.0090,0.0000,5.5521,0.0531
11.2900,0.3235,-0.0090,0.0000,5.6687,0.0575
11.3000,0.3235,-0.0090,0.0000,5.5891,0.0695
11.3100,0.3235,-0.0090,0.0000,5.6570,0.0648
11.3200,0.3235,-0.0090,0.0000,5.5544,0.0525
11.3300,0.3235,-0.0090,0.0000,5.6709,0.0569
11.3400,0.3235,-0.0090,0.0000,5.5913,0.0688
11.3500,0.3235,-0.0090,0.0000,5.6593,0.0641
11.3600,0.3235,-0.0090,0.0000,5.5566,0.0519
11.3700,0.3235,-0.0090,0.0000,5.6731,0.0562
11.3800,0.3235,-0.0090,0.0000,5.5935,0.0682
11.3900,0.3235,-0.0090,0.0000,5.6615,0.0635
11.4000,0.3235,-0.0090,0.0000,5.5589,0.0513
11.4100,0.3235,-0.0090,0.0000,5.6753,0.0557
11.4200,0.3235,-0.0090,0.0000,5.5957,0.0676
11.4300,0.3235,-0.0090,0.0000,5.6637,0.0630
11.4400,0.3235,-0.0090,0.0000,5.5612,0.0509
11.4500,0.3235,-0.0090,0.0000,5.6775,0.0552
