time_s,teleport_event,throttle_veh_0,brake_veh_0,speed_veh_0,speed_long_veh_0,accel_long_veh_0,local_sp_veh_0,throttle_veh_1,brake_veh_1,speed_veh_1,speed_long_veh_1,accel_long_veh_1,local_sp_veh_1,throttle_veh_2,brake_veh_2,speed_veh_2,speed_long_veh_2,accel_long_veh_2,local_sp_veh_2,throttle_veh_3,brake_veh_3,speed_veh_3,speed_long_veh_3,accel_long_veh_3,local_sp_veh_3
0.0000,0,0.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,10.0000
0.0100,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.0200,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,18.0000
0.0300,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.0400,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.0500,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.0600,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.0700,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.0800,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.0900,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.1000,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.1100,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,18.0000
0.1200,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.1300,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.1400,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
0.1500,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,18.0000
0.1600,0,1.0000,0.0000,0.0000,-0.0000,0.0000,10.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000,1.0000,0.0000,0.0000,-0.0000,0.0000,26.0000
