time_s,teleport_event,global_sp_mps,plan_idx,plan_name,leader_speed_mps,leader_in_band,leader_stable_s,emergency_active,throttle_0,brake_0,cmd_age_ms_0,throttle_rx_dt_ms_0,brake_rx_dt_ms_0,cmd_pair_rx_dt_ms_0,speed_0,accel_x_0,local_sp_0,dist_to_prev_0,desired_dist_0,dist_err_0,vel_diff_0,ttc_0,throttle_1,brake_1,cmd_age_ms_1,throttle_rx_dt_ms_1,brake_rx_dt_ms_1,cmd_pair_rx_dt_ms_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,dist_err_1,vel_diff_1,ttc_1,throttle_2,brake_2,cmd_age_ms_2,throttle_rx_dt_ms_2,brake_rx_dt_ms_2,cmd_pair_rx_dt_ms_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,dist_err_2,vel_diff_2,ttc_2,throttle_3,brake_3,cmd_age_ms_3,throttle_rx_dt_ms_3,brake_rx_dt_ms_3,cmd_pair_rx_dt_ms_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3,dist_err_3,vel_diff_3,ttc_3
0.0000,0,0.0000,0,start_stop,0.0392,1,0.0100,0,0.0000,0.0000,,,,,0.0392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,,,,,0.0392,0.0000,0.0000,15.0000,11.0000,4.0000,0.0000,inf,0.0000,0.0000,,,,,0.0392,0.0000,0.0000,15.0000,11.0000,4.0000,0.0000,inf,0.0000,0.0000,,,,,0.0392,0.0000,0.0000,15.0000,11.0000,4.0000,0.0000,inf
0.0100,0,0.0000,0,start_stop,0.1019,1,0.0200,0,0.0000,0.0000,2.8259,,,,0.1019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.3458,0.0000,0.8738,,,,0.1019,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.0000,0.0000,,,,,0.1019,0.0000,0.0000,15.0000,11.0000,4.0000,0.0000,inf,0.0000,0.0000,,,,,0.1019,0.0000,0.0000,15.0000,11.0000,4.0000,0.0000,inf
0.0200,0,0.0000,0,start_stop,0.1788,1,0.0300,0,0.0000,0.0000,1.3509,7.5129,12.8461,6.0472,0.1788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.3458,0.0000,12.2351,,,,0.1788,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3458,0.0000,9.7393,,,,0.1788,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.4250,0.0000,9.6854,9.4195,,,0.1788,0.0000,0.0000,15.0000,11.0000,4.0000,0.0000,inf
0.0300,0,0.0000,0,start_stop,0.2641,1,0.0400,0,0.0000,0.0000,11.7032,17.9506,12.8461,11.9034,0.2641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.3405,0.0000,7.5707,15.7042,15.0041,0.0137,0.2641,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3405,0.0000,7.5907,12.4681,12.4630,0.0108,0.2641,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.4197,0.0000,7.6052,12.3708,12.3662,0.0107,0.2641,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.0400,0,0.0000,0,start_stop,0.3544,1,0.0500,0,0.0000,0.0000,1.1288,8.9200,14.6147,6.2086,0.3544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.3336,0.0000,7.3286,10.4865,10.4910,0.0182,0.3544,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3336,0.0000,7.3150,10.5007,10.5074,0.0175,0.3544,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.4128,0.0000,7.3010,10.5171,10.5207,0.0143,0.3544,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.0500,0,0.0000,0,start_stop,0.4479,1,0.0600,0,0.0000,0.0000,1.5175,10.0914,8.5222,1.6884,0.4479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.3258,0.0000,8.3544,9.4619,9.4590,0.0153,0.4479,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3258,0.0000,8.3525,9.4554,9.4529,0.0150,0.4479,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.4050,0.0000,8.3397,9.4527,9.4535,0.0151,0.4479,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.0600,0,0.0000,0,start_stop,0.5431,0,0.0000,0,0.0000,0.0000,0.9581,10.9791,10.4610,1.1703,0.5431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.3173,0.0000,8.0504,10.7346,10.7335,0.0142,0.5431,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3173,0.0000,8.0694,10.7272,10.7238,0.0116,0.5431,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3965,0.0000,8.0736,10.7149,10.7170,0.0173,0.5431,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.0700,0,0.0000,0,start_stop,0.6395,0,0.0000,0,0.0000,0.0000,0.5088,10.8226,10.4610,9.6523,0.6395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.3085,0.0000,7.8764,10.5416,10.5444,0.0170,0.6395,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3085,0.0000,7.8765,10.5568,10.5555,0.0103,0.6395,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3877,0.0000,7.8747,10.5620,10.5555,0.0107,0.6395,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.0800,0,0.0000,0,start_stop,0.7365,0,0.0000,0,0.0000,0.0100,0.9924,9.6749,12.2838,7.0434,0.7365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2994,0.0000,8.0450,9.9810,9.9754,0.0114,0.7365,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2994,0.0000,8.0568,9.9614,9.9621,0.0110,0.7365,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3787,0.0000,8.0569,9.9542,9.9545,0.0111,0.7365,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.0900,0,0.0000,0,start_stop,0.8339,0,0.0000,0,0.0000,0.0200,1.0859,10.2785,10.0356,7.2863,0.8339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2902,0.0000,8.3800,10.0401,10.0393,0.0106,0.8339,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2902,0.0000,8.3861,10.0394,10.0390,0.0106,0.8339,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3695,0.0000,8.3789,10.0450,10.0501,0.0162,0.8339,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
