time_s,ego_throttle,ego_setpoint_speed,ego_brake,ego_speed,ego_accel_abs,lead_throttle,lead_setpoint_speed,lead_brake,lead_speed,lead_accel_abs,lead_dist,desired_dist
0.0000,0.0000,-1.8000,0.4953,0.0980,9.8000,0.0000,0.0000,0.0140,0.0526,5.2623,5.0001,8.0000
0.0100,0.0000,-1.8000,0.5239,0.1960,9.8000,0.0000,0.0000,0.0232,0.0868,3.4181,5.0002,8.0000
0.0200,0.0000,-1.8000,0.5525,0.2940,9.8000,0.0000,0.0000,0.0307,0.1145,2.7686,5.0003,8.0000
0.0300,0.0000,-1.8000,0.5812,0.3920,9.8000,0.0000,0.0000,0.0367,0.1366,2.2123,5.0004,8.0000
0.0400,0.0000,-1.8000,0.6100,0.4900,9.8000,0.0000,0.0000,0.0414,0.1538,1.7220,5.0006,8.0000
0.0500,0.0000,-1.8000,0.6389,0.5880,9.8000,0.0000,0.0000,0.0451,0.1670,1.3119,5.0007,8.0000
0.0600,0.0000,-1.8000,0.6679,0.6860,9.8000,0.0000,0.0000,0.0478,0.1765,0.9596,5.0009,8.0000
0.0700,0.0000,-1.8000,0.6970,0.7840,9.8000,0.0000,0.0000,0.0497,0.1831,0.6539,5.0011,8.0000
0.0800,0.0000,-1.8000,0.7161,0.8441,6.0129,0.0000,0.0000,0.0510,0.1871,0.3985,5.0012,8.0000
0.0900,0.0000,-1.8000,0.7180,0.8393,0.7422,0.0000,0.0000,0.0517,0.1889,0.1851,5.0009,8.0000
0.1000,0.0000,-1.8000,0.7227,0.8449,0.6411,0.0000,0.0000,0.0519,0.1889,0.0052,5.0003,8.0000
0.1100,0.0000,-1.8000,0.7177,0.8136,3.1349,0.0000,0.0000,0.0517,0.1875,0.1436,4.9996,8.0000
0.1200,0.0000,-1.8000,0.6959,0.7196,9.4086,0.0000,0.0000,0.0512,0.1848,0.2718,4.9991,8.0000
0.1300,0.0000,-1.8000,0.6772,0.6377,8.1848,0.0000,0.0000,0.0504,0.1811,0.3695,4.9987,8.0000
