time_s,segment_range,active_range_carla,active_range_model,setpoint_carla_mps,setpoint_model_mps,speed_carla_mps,speed_model_mps,throttle_carla,throttle_model,brake_carla,brake_model,u_carla,u_model
0.0100,low,low,low,0.0000,0.0000,6.0008,6.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0200,low,low,low,0.0000,0.0000,6.0018,6.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0300,low,low,low,0.0000,0.0000,6.0039,6.6932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0400,low,low,low,0.0000,0.0000,6.0075,7.0973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0500,low,low,low,0.0000,0.0000,6.0125,7.3280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0600,low,low,low,0.0000,0.0000,6.0190,7.4547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0700,low,low,low,0.0000,0.0000,6.0270,7.5192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0800,low,low,low,0.0000,0.0000,6.0366,7.5463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0900,low,low,low,0.0000,0.0000,6.0478,7.5511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1000,low,low,low,0.0000,0.0000,6.0605,7.5426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1100,low,low,low,0.0000,0.0000,6.0747,7.5262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1200,low,low,low,0.0000,0.0000,6.0905,7.5051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1300,low,low,low,0.0000,0.0000,6.1078,7.4812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1400,low,low,low,0.0000,0.0000,6.1266,7.4558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1500,low,low,low,0.0000,0.0000,6.1470,7.4294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1600,low,low,low,0.0000,0.0000,6.1688,7.4026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1700,low,low,low,0.0000,0.0000,6.1921,7.3755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1800,low,low,low,0.0000,0.0000,6.2168,7.3483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1900,low,low,low,0.0000,0.0000,6.2430,7.3211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2000,low,low,low,0.0000,0.0000,6.2706,7.2940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2100,low,low,low,0.0000,0.0000,6.2996,7.2670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2200,low,low,low,0.0000,0.0000,6.3300,7.2401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2300,low,low,low,0.0000,0.0000,6.3618,7.2132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2400,low,low,low,0.0000,0.0000,6.3949,7.1865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2500,low,low,low,0.0000,0.0000,6.4293,7.1599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2600,low,low,low,0.0000,0.0000,6.4650,7.1334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2700,low,low,low,0.0000,0.0000,6.5020,7.1070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2800,low,low,low,0.0000,0.0000,6.5403,7.0807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.2900,low,low,low,0.0000,0.0000,6.5798,7.0545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3000,low,low,low,0.0000,0.0000,6.6205,7.0285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3100,low,low,low,0.0000,0.0000,6.4580,7.0025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3200,low,low,low,0.0000,0.0000,6.0147,6.9767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3300,low,low,low,0.0000,0.0000,5.4126,6.9509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3400,low,low,low,0.0000,0.0000,4.7236,6.9252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3500,low,low,low,0.0000,0.0000,3.9904,6.8997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3600,low,low,low,0.0000,0.0000,3.2413,6.8742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3700,low,low,low,0.0000,0.0000,2.5076,6.8489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3800,low,low,low,0.0000,0.0000,1.8330,6.8236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.3900,low,low,low,0.0000,0.0000,1.3117,6.7984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4000,low,low,low,0.0000,0.0000,0.9395,6.7733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4100,low,low,low,0.0000,0.0000,0.6698,6.7483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4200,low,low,low,0.0000,0.0000,0.4437,6.7234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4300,low,low,low,0.0000,0.0000,0.2868,6.6986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4400,low,low,low,0.0000,0.0000,0.1896,6.6739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4500,low,low,low,0.0000,0.0000,0.1449,6.6493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4600,low,low,low,0.0000,0.0000,0.1321,6.6247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4700,low,low,low,0.0000,0.0000,0.1364,6.6002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4800,low,low,low,0.0000,0.0000,0.1485,6.5759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.4900,low,low,low,0.0000,0.0000,0.1632,6.5516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5000,low,low,low,0.0000,0.0000,0.1775,6.5274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5100,low,low,low,0.0000,0.0000,0.1902,6.5032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5200,low,low,low,0.0000,0.0000,0.2004,6.4792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5300,low,low,low,0.0000,0.0000,0.2080,6.4552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5400,low,low,low,0.0000,0.0000,0.2130,6.4314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5500,low,low,low,0.0000,0.0000,0.2157,6.4076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5600,low,low,low,0.0000,0.0000,0.2164,6.3838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5700,low,low,low,0.0000,0.0000,0.2153,6.3602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5800,low,low,low,0.0000,0.0000,0.2127,6.3366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.5900,low,low,low,0.0000,0.0000,0.2088,6.3132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6000,low,low,low,0.0000,0.0000,0.2039,6.2898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6100,low,low,low,0.0000,0.0000,0.1982,6.2664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6200,low,low,low,0.0000,0.0000,0.1919,6.2432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6300,low,low,low,0.0000,0.0000,0.1851,6.2200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6400,low,low,low,0.0000,0.0000,0.1779,6.1969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6500,low,low,low,0.0000,0.0000,0.1706,6.1739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6600,low,low,low,0.0000,0.0000,0.1631,6.1510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6700,low,low,low,0.0000,0.0000,0.1556,6.1281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6800,low,low,low,0.0000,0.0000,0.1481,6.1054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.6900,low,low,low,0.0000,0.0000,0.1407,6.0826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7000,low,low,low,0.0000,0.0000,0.1334,6.0600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7100,low,low,low,0.0000,0.0000,0.1263,6.0374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7200,low,low,low,0.0000,0.0000,0.1194,6.0150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7300,low,low,low,0.0000,0.0000,0.1126,5.9925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7400,low,low,low,0.0000,0.0000,0.1062,5.9702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7500,low,low,low,0.0000,0.0000,0.1000,5.9479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7600,low,low,low,0.0000,0.0000,0.0940,5.9257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.7700,low,low,low,0.0000,0.0000,0.0883,5.9036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
