time_s,throttle_0,brake_0,speed_0,accel_x_0,local_sp_0,dist_to_prev_0,desired_dist_0,throttle_1,brake_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,throttle_2,brake_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,throttle_3,brake_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3
0.0000,0.0000,0.0000,0.0392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0392,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0392,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0392,0.0000,0.0000,6.0000,10.5000
0.0100,0.0000,0.0000,0.1019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1019,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.1019,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.1019,0.0000,0.0000,6.0000,10.5000
0.0200,0.0000,0.0000,0.1788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1788,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.1788,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.1788,0.0000,0.0000,6.0000,10.5000
0.0300,1.0000,0.0000,0.2641,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,0.2641,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.2641,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.2641,0.0000,0.0000,6.0000,10.5000
0.0400,1.0000,0.0000,0.3544,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,0.3544,0.0000,15.3300,6.0000,10.5000,1.0000,0.0000,0.3544,0.0000,15.3684,6.0000,10.5000,0.0000,0.0000,0.3544,0.0000,0.0000,6.0000,10.5000
0.0500,1.0000,0.0000,0.4479,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,0.4479,0.0000,15.3300,6.0000,10.5000,1.0000,0.0000,0.4479,0.0000,15.3684,6.0000,10.5000,0.0000,0.0000,0.4479,0.0000,0.0000,6.0000,10.5000
0.0600,1.0000,0.0000,0.5431,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,0.5431,0.0000,15.3752,6.0000,10.5000,0.9017,0.0000,0.5431,0.0000,15.2422,6.0000,10.5000,0.0000,0.0000,0.5431,0.0000,0.0000,6.0000,10.5000
0.0700,1.0000,0.0000,0.6395,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,0.6395,0.0000,15.3752,6.0000,10.5000,0.9017,0.0000,0.6395,0.0000,15.2422,6.0000,10.5000,0.0000,0.0000,0.6395,0.0000,0.0000,6.0000,10.5000
0.0800,1.0000,0.0000,0.7365,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,0.7365,0.0000,15.3776,6.0000,10.5000,0.9423,0.0000,0.7365,0.0000,15.2824,6.0000,10.5000,0.0000,0.0000,0.7365,0.0000,0.0000,6.0000,10.5000
0.0900,1.0000,0.0000,0.8339,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,0.8339,0.0000,15.3776,6.0000,10.5000,0.9423,0.0000,0.8339,0.0000,15.2824,6.0000,10.5000,0.0000,0.0000,0.8339,0.0000,0.0000,6.0000,10.5000
0.1000,1.0000,0.0000,0.9315,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,0.9315,0.0000,15.3785,6.0000,10.5000,0.9384,0.0000,0.9315,0.0000,15.2815,6.0000,10.5000,0.0000,0.0000,0.9315,0.0000,0.0000,6.0000,10.5000
0.1100,1.0000,0.0000,1.0293,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,1.0293,0.0000,15.3788,6.0000,10.5000,0.9365,0.0000,1.0293,0.0000,15.2812,6.0000,10.5000,0.0000,0.0000,1.0293,0.0000,0.0000,6.0000,10.5000
0.1200,1.0000,0.0000,1.1272,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,1.1272,0.0000,15.3788,6.0000,10.5000,0.9365,0.0000,1.1272,0.0000,15.2812,6.0000,10.5000,0.0000,0.0000,1.1272,0.0000,0.0000,6.0000,10.5000
0.1300,1.0000,0.0000,1.2251,0.0000,33.3300,0.0000,0.0000,1.0000,0.0000,1.2251,0.0000,15.3300,6.0000,10.5000,1.0000,0.0000,1.2251,0.0000,15.3300,6.0000,10.5000,0.0000,0.0000,1.2251,0.0000,0.0000,6.0000,10.5000
