time_s,ego_throttle,ego_setpoint_speed,ego_brake,ego_speed,ego_accel_abs,lead_throttle,lead_setpoint_speed,lead_brake,lead_speed,lead_accel_abs,lead_dist
0.0000,0.5330,2.0984,0.0000,0.0526,5.2623,0.0000,0.0000,0.0261,0.0980,9.8000,20.0022
0.0100,0.5520,2.1964,0.0000,0.0868,3.4181,0.0000,0.0000,0.0524,0.1960,9.8000,20.0021
0.0200,0.5729,2.2944,0.0000,0.1145,2.7686,0.0000,0.0000,0.0787,0.2940,9.8000,20.0019
0.0300,0.5953,2.3923,0.0000,0.1366,2.2123,0.0000,0.0000,0.1051,0.3920,9.8000,20.0017
0.0400,0.6192,2.4903,0.0000,0.1538,1.7220,0.0000,0.0000,0.1317,0.4900,9.8000,20.0015
0.0500,0.6442,2.5883,0.0000,0.1670,1.3119,0.0000,0.0000,0.1583,0.5880,9.8000,20.0013
0.0600,0.6703,2.6862,0.0000,0.1765,0.9596,0.0000,0.0000,0.1850,0.6860,9.8000,20.0011
0.0700,0.6974,2.7842,0.0000,0.1831,0.6539,0.0000,0.0000,0.2119,0.7840,9.8000,20.0008
0.0800,0.7252,2.8821,0.0000,0.1871,0.3985,0.0000,0.0000,0.2388,0.8820,9.8000,20.0006
0.0900,0.7537,2.9801,0.0000,0.1889,0.1851,0.0000,0.0000,0.2659,0.9800,9.8000,20.0003
0.1000,0.7828,3.0780,0.0000,0.1889,0.0052,0.0000,0.0000,0.2930,1.0780,9.8000,20.0000
0.1100,0.8125,3.1759,0.0000,0.1875,0.1436,0.0000,0.0000,0.3203,1.1760,9.8000,19.9997
0.1200,0.8426,3.2739,0.0000,0.1848,0.2718,0.0000,0.0000,0.3477,1.2740,9.8000,19.9994
0.1300,0.8730,3.3718,0.0000,0.1811,0.3695,0.0000,0.0000,0.3751,1.3720,9.8000,19.9992
0.1400,0.9039,3.4698,0.0000,0.1766,0.4484,0.0000,0.0000,0.4027,1.4700,9.8000,19.9989
