time_s,ego_throttle,ego_setpoint_speed,ego_brake,ego_speed,ego_accel_abs,lead_throttle,lead_setpoint_speed,lead_brake,lead_speed,lead_accel_abs,lead_dist
0.0000,0.5074,2.0004,0.0000,0.0526,5.2623,0.0000,0.0000,0.0261,0.0980,9.8000,20.0022
0.0100,0.5008,2.0004,0.0000,0.0868,3.4181,0.0000,0.0000,0.0524,0.1960,9.8000,20.0021
0.0200,0.4959,2.0004,0.0000,0.1145,2.7686,0.0000,0.0000,0.0787,0.2940,9.8000,20.0019
0.0300,0.4924,2.0003,0.0000,0.1366,2.2123,0.0000,0.0000,0.1051,0.3920,9.8000,20.0017
0.0400,0.4902,2.0003,0.0000,0.1538,1.7220,0.0000,0.0000,0.1317,0.4900,9.8000,20.0015
0.0500,0.4891,2.0003,0.0000,0.1670,1.3119,0.0000,0.0000,0.1583,0.5880,9.8000,20.0013
0.0600,0.4889,2.0002,0.0000,0.1765,0.9596,0.0000,0.0000,0.1850,0.6860,9.8000,20.0011
0.0700,0.4895,2.0002,0.0000,0.1831,0.6539,0.0000,0.0000,0.2119,0.7840,9.8000,20.0008
0.0800,0.4908,2.0001,0.0000,0.1871,0.3985,0.0000,0.0000,0.2388,0.8820,9.8000,20.0006
0.0900,0.4926,2.0001,0.0000,0.1889,0.1851,0.0000,0.0000,0.2659,0.9800,9.8000,20.0003
0.1000,0.4950,2.0000,0.0000,0.1889,0.0052,0.0000,0.0000,0.2930,1.0780,9.8000,20.0000
0.1100,0.4977,1.9999,0.0000,0.1875,0.1436,0.0000,0.0000,0.3203,1.1760,9.8000,19.9997
0.1200,0.5007,1.9999,0.0000,0.1848,0.2718,0.0000,0.0000,0.3477,1.2740,9.8000,19.9994
0.1300,0.5040,1.9998,0.0000,0.1811,0.3695,0.0000,0.0000,0.3751,1.3720,9.8000,19.9992
0.1400,0.5076,1.9998,0.0000,0.1766,0.4484,0.0000,0.0000,0.4027,1.4700,9.8000,19.9989
0.1500,0.5113,1.9997,0.0000,0.1715,0.5121,0.0000,0.0000,0.4260,1.5513,8.1264,19.9985
0.1600,0.5151,1.9996,0.0000,0.1658,0.5646,0.0000,0.0000,0.3805,1.3747,17.6807,19.9981
0.1700,0.5190,1.9996,0.0000,0.1598,0.5981,0.0000,0.0000,0.3320,1.1872,18.7453,19.9978
0.1800,0.5230,1.9995,0.0000,0.1536,0.6197,0.0000,0.0000,0.2893,1.0221,16.5069,19.9975
0.1900,0.5271,1.9994,0.0000,0.1473,0.6382,0.0000,0.0000,0.2518,0.8770,14.5122,19.9972
0.2000,0.5312,1.9994,0.0000,0.1408,0.6467,0.0000,0.0000,0.2188,0.7496,12.7450,19.9970
0.2100,0.5353,1.9994,0.0000,0.1343,0.6465,0.0000,0.0000,0.1899,0.6378,11.1722,19.9968
0.2200,0.5394,1.9993,0.0000,0.1279,0.6416,0.0000,0.0000,0.1646,0.5400,9.7849,19.9966
0.2300,0.5434,1.9993,0.0000,0.1215,0.6391,0.0000,0.0000,0.1425,0.4545,8.5499,19.9965
0.2400,0.5475,1.9993,0.0000,0.1153,0.6256,0.0000,0.0000,0.1233,0.3799,7.4579,19.9963
0.2500,0.5515,1.9992,0.0000,0.1092,0.6087,0.0000,0.0000,0.1065,0.3150,6.4930,19.9962
0.2600,0.5555,1.9992,0.0000,0.1032,0.5919,0.0000,0.0000,0.0919,0.2586,5.6428,19.9961
0.2700,0.5594,1.9992,0.0000,0.0975,0.5741,0.0000,0.0000,0.0793,0.2097,4.8892,19.9960
0.2800,0.5633,1.9992,0.0000,0.0920,0.5549,0.0000,0.0000,0.0684,0.1674,4.2256,19.9959
0.2900,0.5672,1.9992,0.0000,0.0866,0.5315,0.0000,0.0000,0.0591,0.1310,3.6396,19.9958
0.3000,0.5710,1.9992,0.0000,0.0816,0.5093,0.0000,0.0000,0.0510,0.0997,3.1272,19.9958
0.3100,0.5747,1.9991,0.0000,0.0767,0.4898,0.0000,0.0000,0.0441,0.0730,2.6747,19.9957
0.3200,0.5784,1.9991,0.0000,0.0720,0.4660,0.0000,0.0000,0.0383,0.0502,2.2772,19.9957
0.3300,0.5820,1.9991,0.0000,0.0676,0.4437,0.0000,0.0000,0.0333,0.0309,1.9344,19.9956
0.3400,0.5856,1.9991,0.0000,0.0633,0.4221,0.0000,0.0000,0.0291,0.0146,1.6274,19.9956
0.3500,0.5891,1.9991,0.0000,0.0593,0.3997,0.0000,0.0000,0.0256,0.0010,1.3654,19.9955
0.3600,0.5926,1.9991,0.0000,0.0555,0.3829,0.0000,0.0000,0.0283,0.0104,1.1311,19.9955
0.3700,0.5960,1.9991,0.0000,0.0519,0.3563,0.0000,0.0000,0.0309,0.0197,0.9352,19.9955
0.3800,0.5994,1.9991,0.0000,0.0486,0.3393,0.0000,0.0000,0.0330,0.0273,0.7615,19.9954
0.3900,0.6027,1.9991,0.0000,0.0453,0.3217,0.0000,0.0000,0.0348,0.0334,0.6059,19.9954
0.4000,0.6060,1.9991,0.0000,0.0424,0.2973,0.0000,0.0000,0.0362,0.0382,0.4802,19.9954
0.4100,0.6092,1.9991,0.0000,0.0395,0.2859,0.0000,0.0000,0.0373,0.0418,0.3643,19.9954
0.4200,0.6124,1.9991,0.0000,0.0368,0.2677,0.0000,0.0000,0.0382,0.0446,0.2736,19.9953
0.4300,0.6156,1.9991,0.0000,0.0343,0.2515,0.0000,0.0000,0.0388,0.0465,0.1895,19.9953
