time_s,throttle_0,brake_0,speed_0,accel_x_0,local_sp_0,dist_to_prev_0,desired_dist_0,throttle_1,brake_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,throttle_2,brake_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,throttle_3,brake_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3
0.0000,0.0000,0.0000,0.0980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0980,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0980,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0980,0.0000,0.0000,6.0000,10.5000
0.0100,0.0000,0.0000,0.1960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1960,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.1960,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.1960,0.0000,0.0000,6.0000,10.5000
0.0200,0.0000,0.0000,0.2940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2940,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.2940,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.2940,0.0000,0.0000,6.0000,10.5000
0.0300,0.0000,0.0000,0.3920,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3920,0.0000,-4.0000,6.0000,10.5000,0.0000,0.0000,0.3920,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.3920,0.0000,0.0000,6.0000,10.5000
0.0400,0.0000,0.0000,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.4900,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,0.4900,0.0000,-4.0000,6.0000,10.5000,0.0000,0.0000,0.4900,0.0000,0.0000,6.0000,10.5000
0.0500,0.0000,0.0000,0.5880,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5880,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,0.5880,0.0000,-4.0000,6.0000,10.5000,0.0000,0.0000,0.5880,0.0000,0.0000,6.0000,10.5000
0.0600,1.0000,0.0000,0.6860,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,0.6860,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,0.6860,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,0.6860,0.0000,0.0000,6.0000,10.5000
0.0700,1.0000,0.0000,0.7840,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,0.7840,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,0.7840,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,0.7840,0.0000,0.0000,6.0000,10.5000
0.0800,0.9540,0.0000,0.8820,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,0.8820,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,0.8820,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,0.8820,0.0000,0.0000,6.0000,10.5000
0.0900,0.9540,0.0000,0.9800,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,0.9800,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,0.9800,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,0.9800,0.0000,0.0000,6.0000,10.5000
0.1000,0.9063,0.0000,1.0780,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,1.0780,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,1.0780,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,1.0780,0.0000,0.0000,6.0000,10.5000
0.1100,0.8393,0.0000,1.1760,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,1.1760,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,1.1760,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,1.1760,0.0000,0.0000,6.0000,10.5000
0.1200,0.8393,0.0000,1.2740,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,1.2740,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,1.2740,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,1.2740,0.0000,0.0000,6.0000,10.5000
0.1300,0.7891,0.0000,1.3720,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,1.3720,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,1.3720,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,1.3720,0.0000,0.0000,6.0000,10.5000
0.1400,0.7891,0.0000,1.4700,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,1.4700,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,1.4700,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,1.4700,0.0000,0.0000,6.0000,10.5000
0.1500,0.7371,0.0000,1.5680,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,1.5680,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,1.5680,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,1.5680,0.0000,0.0000,6.0000,10.5000
0.1600,0.7529,0.0000,1.6660,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,1.6660,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,1.6660,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,1.6660,0.0000,0.0000,6.0000,10.5000
0.1700,0.6834,0.0000,1.7640,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,1.7640,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,1.7640,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,1.7640,0.0000,0.0000,6.0000,10.5000
0.1800,0.6557,0.0000,1.8620,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,1.8620,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,1.8620,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,1.8620,0.0000,0.0000,6.0000,10.5000
0.1900,0.6276,0.0000,1.9600,0.0000,5.0000,0.0000,0.0000,0.0000,0.2000,1.9600,0.0000,-4.0000,6.0000,10.5000,0.0000,0.2000,1.9600,0.0000,-4.0000,6.0000,10.5000,0.0000,0.3000,1.9600,0.0000,0.0000,6.0000,10.5000
0.2000,0.6127,0.0000,1.7713,-0.0016,5.0000,0.0000,0.0000,0.0000,0.2000,1.7713,-0.0016,-4.0000,6.0000,10.5000,0.0000,0.2000,1.7713,-0.0016,-4.0000,6.0000,10.5000,0.0000,0.3000,1.7713,-0.0016,0.0000,6.0000,10.5000
0.2100,0.6127,0.0000,1.5157,0.0003,5.0000,0.0000,0.0000,0.0000,0.2000,1.5157,0.0003,-4.0000,6.0000,10.5000,0.0000,0.2000,1.5157,0.0003,-4.0000,6.0000,10.5000,0.0000,0.3000,1.5157,0.0003,0.0000,6.0000,10.5000
0.2200,0.6659,0.0000,1.2915,0.0003,5.0000,0.0000,0.0000,0.0000,0.1972,1.2915,0.0003,-4.0000,6.0000,10.5000,0.0000,0.1972,1.2915,0.0003,-4.0000,6.0000,10.5000,0.0000,0.3000,1.2915,0.0004,0.0000,6.0000,10.5000
0.2300,0.7914,0.0000,1.0951,0.0003,5.0000,0.0000,0.0000,0.0000,0.1800,1.0951,0.0003,-4.0000,6.0000,10.5000,0.0000,0.1800,1.0951,0.0003,-4.0000,6.0000,10.5000,0.0000,0.3000,1.0951,0.0003,0.0000,6.0000,10.5000
