time_s,throttle_lead,brake_lead,speed_lead,accel_x_lead,local_sp_lead,dist_to_prev_lead,desired_dist_lead,throttle_1,brake_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,throttle_2,brake_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,throttle_3,brake_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3
0.0000,0.0000,0.0000,0.0588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0588,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0588,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0588,0.0000,0.0000,6.0000,10.5000
0.0100,0.0000,0.0000,0.1411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1411,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.1411,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.1411,0.0000,0.0000,6.0000,10.5000
0.0200,0.0000,0.0000,0.2328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2328,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.2328,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.2328,0.0000,0.0000,6.0000,10.5000
0.0300,0.0000,0.0000,0.3283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3283,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.3283,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.3283,0.0000,0.0000,6.0000,10.5000
0.0400,0.0000,0.0000,0.4253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4253,0.0000,0.0000,6.0000,10.5000,0.0000,1.0000,0.4253,0.0000,-11.5000,6.0000,10.5000,0.0000,0.0000,0.4253,0.0000,0.0000,6.0000,10.5000
0.0500,1.0000,0.0000,0.5229,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.5229,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.5229,0.0000,-11.5000,6.0000,10.5000,0.0000,0.0000,0.5229,0.0000,0.0000,6.0000,10.5000
0.0600,0.9632,0.0000,0.6208,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.6208,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.6208,0.0000,-11.5000,6.0000,10.5000,0.0000,0.0000,0.6208,0.0000,0.0000,6.0000,10.5000
0.0700,0.9632,0.0000,0.7187,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.7187,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.7187,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.7187,0.0000,0.0000,6.0000,10.5000
0.0800,1.0000,0.0000,0.8167,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.8167,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.8167,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.8167,0.0000,0.0000,6.0000,10.5000
0.0900,1.0000,0.0000,0.9147,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.9147,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.9147,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.9147,0.0000,0.0000,6.0000,10.5000
