time_s,throttle,setpoint,brake,speed_m_s,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2
0.0000,1.0000,22.2200,0.0000,0.0004,-0.0269,0.0250,-5.2621
0.0100,1.0000,22.2200,0.0000,0.0008,-0.0231,0.0431,-3.4177
0.0200,1.0000,22.2200,0.0000,0.0012,-0.0201,0.0324,-2.7683
0.0300,1.0000,22.2200,0.0000,0.0015,-0.0172,0.0200,-2.2121
0.0400,1.0000,22.2200,0.0000,0.0017,-0.0143,0.0133,-1.7219
0.0500,1.0000,22.2200,0.0000,0.0018,-0.0115,0.0065,-1.3118
0.0600,1.0000,22.2200,0.0000,0.0019,-0.0092,0.0018,-0.9596
0.0700,1.0000,22.2200,0.0000,0.0019,-0.0069,-0.0002,-0.6539
0.0800,1.0000,22.2200,0.0000,0.0019,-0.0048,-0.0019,-0.3984
0.0900,1.0000,22.2200,0.0000,0.0019,-0.0032,-0.0047,-0.1850
0.1000,1.0000,22.2200,0.0000,0.0019,-0.0015,-0.0049,0.0010
0.1100,1.0000,22.2200,0.0000,0.0019,-0.0003,-0.0046,0.1436
0.1200,1.0000,22.2200,0.0000,0.0018,0.0009,-0.0058,0.2718
0.1300,1.0000,22.2200,0.0000,0.0018,0.0018,-0.0060,0.3694
0.1400,1.0000,22.2200,0.0000,0.0017,0.0026,-0.0045,0.4484
0.1500,1.0000,22.2200,0.0000,0.0017,0.0033,-0.0050,0.5121
0.1600,1.0000,22.2200,0.0000,0.0016,0.0039,-0.0056,0.5646
0.1700,1.0000,22.2200,0.0000,0.0015,0.0042,-0.0051,0.5981
0.1800,1.0000,22.2200,0.0000,0.0015,0.0045,-0.0051,0.6196
0.1900,1.0000,22.2200,0.0000,0.0014,0.0048,-0.0043,0.6382
0.2000,1.0000,22.2200,0.0000,0.0013,0.0051,-0.0041,0.6467
0.2100,1.0000,22.2200,0.0000,0.0013,0.0050,-0.0041,0.6464
0.2200,1.0000,22.2200,0.0000,0.0012,0.0050,-0.0039,0.6416
0.2300,1.0000,22.2200,0.0000,0.0012,0.0051,-0.0033,0.6390
0.2400,1.0000,22.2200,0.0000,0.0011,0.0051,-0.0025,0.6255
0.2500,1.0000,22.2200,0.0000,0.0010,0.0050,-0.0037,0.6087
0.2600,1.0000,22.2200,0.0000,0.0010,0.0048,-0.0029,0.5919
0.2700,1.0000,22.2200,0.0000,0.0009,0.0047,-0.0021,0.5741
0.2800,1.0000,22.2200,0.0000,0.0009,0.0046,-0.0025,0.5549
0.2900,1.0000,22.2200,0.0000,0.0008,0.0045,-0.0033,0.5315
0.3000,1.0000,22.2200,0.0000,0.0008,0.0042,-0.0029,0.5093
0.3100,1.0000,22.2200,0.0000,0.0007,0.0040,-0.0018,0.4898
0.3200,1.0000,22.2200,0.0000,0.0007,0.0040,-0.0015,0.4660
0.3300,1.0000,22.2200,0.0000,0.0006,0.0037,-0.0029,0.4437
0.3400,1.0000,22.2200,0.0000,0.0006,0.0035,-0.0016,0.4221
0.3500,1.0000,22.2200,0.0000,0.0006,0.0033,-0.0009,0.3997
0.3600,1.0000,22.2200,0.0000,0.0005,0.0033,-0.0013,0.3829
0.3700,1.0000,22.2200,0.0000,0.0005,0.0029,-0.0011,0.3562
0.3800,1.0000,22.2200,0.0000,0.0005,0.0029,-0.0016,0.3393
0.3900,1.0000,22.2200,0.0000,0.0004,0.0027,-0.0024,0.3217
0.4000,1.0000,22.2200,0.0000,0.0004,0.0024,-0.0007,0.2972
0.4100,1.0000,22.2200,0.0000,0.0004,0.0025,-0.0012,0.2859
0.4200,1.0000,22.2200,0.0000,0.0004,0.0021,-0.0013,0.2677
0.4300,1.0000,22.2200,0.0000,0.0034,-0.3193,-0.0004,0.2536
0.4400,1.0000,22.2200,0.0000,0.2717,-26.8240,-0.1076,0.6192
0.4500,1.0000,22.2200,0.0000,0.3637,-9.2081,-0.0364,0.3602
0.4600,1.0000,22.2200,0.0000,0.6187,-25.4951,-0.1025,0.5666
0.4700,1.0000,22.2200,0.0000,0.8187,-19.9958,-0.0817,0.4813
0.4800,1.0000,22.2200,0.0000,0.9048,-8.6144,-0.0332,0.3071
0.4900,1.0000,22.2200,0.0000,1.1095,-20.4679,-0.0831,0.4622
0.5000,1.0000,22.2200,0.0000,1.2049,-9.5413,-0.0377,0.2968
0.5100,1.0000,22.2200,0.0000,1.3872,-18.2339,-0.0749,0.4093
0.5200,1.0000,22.2200,0.0000,1.5401,-15.2880,-0.0632,0.3564
0.5300,1.0000,22.2200,0.0000,1.6211,-8.0952,-0.0333,0.2455
0.5400,1.0000,22.2200,0.0000,1.7937,-17.2618,-0.0698,0.3681
0.5500,1.0000,22.2200,0.0000,1.9215,-12.7819,-0.0527,0.2939
0.5600,1.0000,22.2200,0.0000,2.0508,-12.9314,-0.0524,0.2886
0.5700,1.0000,22.2200,0.0000,2.1647,-11.3878,-0.0463,0.2581
0.5800,1.0000,22.2200,0.0000,2.2824,-11.7742,-0.0476,0.2618
0.5900,1.0000,22.2200,0.0000,2.3864,-10.3929,-0.0423,0.2300
0.6000,1.0000,22.2200,0.0000,2.4944,-10.8017,-0.0436,0.2359
0.6100,1.0000,22.2200,0.0000,2.5911,-9.6706,-0.0396,0.2083
0.6200,1.0000,22.2200,0.0000,2.6909,-9.9775,-0.0407,0.2133
0.6300,1.0000,22.2200,0.0000,2.7823,-9.1402,-0.0370,0.1885
0.6400,1.0000,22.2200,0.0000,2.8751,-9.2819,-0.0373,0.1908
0.6500,1.0000,22.2200,0.0000,2.9624,-8.7300,-0.0352,0.1824
0.6600,1.0000,22.2200,0.0000,3.0496,-8.7195,-0.0349,0.1727
0.6700,1.0000,22.2200,0.0000,3.1335,-8.3866,-0.0336,0.1648
0.6800,1.0000,22.2200,0.0000,3.2163,-8.2886,-0.0337,0.1624
0.6900,1.0000,22.2200,0.0000,3.2972,-8.0865,-0.0327,0.1556
0.7000,1.0000,22.2200,0.0000,3.3769,-7.9661,-0.0321,0.1540
0.7100,1.0000,22.2200,0.0000,3.4552,-7.8279,-0.0314,0.1431
0.7200,1.0000,22.2200,0.0000,3.5323,-7.7188,-0.0310,0.1464
0.7300,1.0000,22.2200,0.0000,3.6085,-7.6143,-0.0307,0.1368
0.7400,1.0000,22.2200,0.0000,3.6837,-7.5227,-0.0303,0.1350
0.7500,1.0000,22.2200,0.0000,3.7581,-7.4400,-0.0301,0.1303
0.7600,1.0000,22.2200,0.0000,3.8318,-7.3662,-0.0299,0.1301
0.7700,1.0000,22.2200,0.0000,3.9048,-7.2988,-0.0294,0.1240
0.7800,1.0000,22.2200,0.0000,3.9772,-7.2389,-0.0290,0.1262
0.7900,1.0000,22.2200,0.0000,4.0490,-7.1846,-0.0289,0.1221
0.8000,1.0000,22.2200,0.0000,4.1204,-7.1355,-0.0287,0.1181
0.8100,1.0000,22.2200,0.0000,4.1913,-7.0917,-0.0286,0.1187
0.8200,1.0000,22.2200,0.0000,4.2618,-7.0515,-0.0284,0.1134
0.8300,1.0000,22.2200,0.0000,4.3319,-7.0158,-0.0283,0.1180
0.8400,1.0000,22.2200,0.0000,4.4018,-6.9825,-0.0279,0.1102
0.8500,1.0000,22.2200,0.0000,4.4713,-6.9531,-0.0280,0.1116
0.8600,1.0000,22.2200,0.0000,4.5406,-6.9262,-0.0277,0.1104
