time_s,teleport_event,speed_range,active_inner,mode,a_cmd,a_des,a_meas,u_raw,u_eff,throttle_veh_0,brake_veh_0,speed_veh_0,speed_long_veh_0,accel_long_veh_0,local_sp_veh_0
0.0000,0,,,,,,,,,0.0000,0.0000,0.0000,-0.0000,-0.0000,10.0000
0.0100,0,low,single,throttle,3.000000,3.000000,-0.000002,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.0200,0,low,single,throttle,3.000000,3.000000,-0.000002,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.0300,0,low,single,throttle,3.000000,3.000000,-0.000003,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.0400,0,low,single,throttle,3.000000,3.000000,-0.000002,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.0500,0,low,single,throttle,3.000000,3.000000,-0.000002,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.0600,0,low,single,throttle,3.000000,3.000000,-0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.0700,0,low,single,throttle,3.000000,3.000000,-0.000002,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.0800,0,low,single,throttle,3.000000,3.000000,-0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.0900,0,low,single,throttle,3.000000,3.000000,-0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.1000,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.1100,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.1200,0,low,single,throttle,3.000000,3.000000,-0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.1300,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.1400,0,low,single,throttle,3.000000,3.000000,-0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.1500,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.1600,0,low,single,throttle,3.000000,3.000000,0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.1700,0,low,single,throttle,3.000000,3.000000,0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.1800,0,low,single,throttle,3.000000,3.000000,0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.1900,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.2000,0,low,single,throttle,3.000000,3.000000,0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.2100,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.2200,0,low,single,throttle,3.000000,3.000000,0.000002,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.2300,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.2400,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.2500,0,low,single,throttle,3.000000,3.000000,0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.2600,0,low,single,throttle,3.000000,3.000000,-0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.2700,0,low,single,throttle,3.000000,3.000000,0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.2800,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.2900,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.3000,0,low,single,throttle,3.000000,3.000000,-0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.3100,0,low,single,throttle,3.000000,3.000000,0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.3200,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.3300,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.3400,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.3500,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.3600,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.3700,0,low,single,throttle,3.000000,3.000000,0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.3800,0,low,single,throttle,3.000000,3.000000,-0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.3900,0,low,single,throttle,3.000000,3.000000,0.000001,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.4000,0,low,single,throttle,3.000000,3.000000,0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,-0.0000,5.0000
0.4100,0,low,single,throttle,3.000000,3.000000,-0.000000,1.000000,1.000000,1.0000,0.0000,0.0000,-0.0000,0.0000,5.0000
0.4200,0,low,single,throttle,3.000000,3.000000,0.000001,1.000000,1.000000,1.0000,0.0000,0.2343,0.2343,8.1994,5.0000
0.4300,0,low,single,coast,2.614060,2.614060,8.199366,-1.000000,-1.000000,0.0000,0.0000,0.4735,0.4735,13.7011,5.0000
0.4400,0,low,single,brake,2.216744,2.216744,13.701120,-1.000000,-1.000000,0.0000,1.0000,0.6913,0.6913,16.5296,5.0000
0.4500,0,low,single,brake,1.856713,1.856713,16.529561,-1.000000,-1.000000,0.0000,1.0000,0.8881,0.8881,17.6323,5.0000
0.4600,0,low,single,brake,1.533538,1.533538,17.632297,-1.000000,-1.000000,0.0000,1.0000,1.0650,1.0650,17.6528,5.0000
0.4700,0,low,single,brake,1.245334,1.245334,17.652798,-1.000000,-1.000000,0.0000,1.0000,1.2235,1.2235,17.0224,5.0000
0.4800,0,low,single,brake,0.989508,0.989508,17.022416,-0.842501,-0.842501,0.0000,0.8425,1.3642,1.3641,15.9869,5.0000
