time_s,throttle,brake,speed,accel
174.6300,0.5500,0.0000,16.8248,0.0010
174.6400,0.6500,0.0000,16.8250,-0.0193
174.6500,0.6500,0.0000,16.8252,-0.0231
174.6600,0.6500,0.0000,16.8255,-0.0311
174.6700,0.6500,0.0000,16.8263,-0.0790
174.6800,0.6500,0.0000,16.8280,-0.1663
174.6900,0.6500,0.0000,16.8305,-0.2556
174.7000,0.6500,0.0000,16.8339,-0.3380
174.7100,0.6500,0.0000,16.8380,-0.4137
174.7200,0.6500,0.0000,16.8429,-0.4833
174.7300,0.6500,0.0000,16.8484,-0.5476
174.7400,0.6500,0.0000,16.8544,-0.6063
174.7500,0.6500,0.0000,16.8610,-0.6607
174.7600,0.6500,0.0000,16.8681,-0.7111
174.7700,0.6500,0.0000,16.8757,-0.7568
174.7800,0.6500,0.0000,16.8837,-0.7996
174.7900,0.6500,0.0000,16.8921,-0.8387
174.8000,0.6500,0.0000,16.9008,-0.8747
174.8100,0.6500,0.0000,16.9100,-0.9129
174.8200,0.6500,0.0000,16.9194,-0.9474
174.8300,0.6500,0.0000,16.9292,-0.9729
174.8400,0.6500,0.0000,16.9391,-0.9966
174.8500,0.6500,0.0000,16.9493,-1.0193
174.8600,0.6500,0.0000,16.9597,-1.0406
174.8700,0.6500,0.0000,16.9703,-1.0601
174.8800,0.6500,0.0000,16.9811,-1.0784
174.8900,0.6500,0.0000,16.9921,-1.0958
174.9000,0.6500,0.0000,17.0032,-1.1114
174.9100,0.6500,0.0000,17.0144,-1.1261
174.9200,0.6500,0.0000,17.0258,-1.1396
174.9300,0.6500,0.0000,17.0374,-1.1517
174.9400,0.6500,0.0000,17.0490,-1.1635
174.9500,0.6500,0.0000,17.0607,-1.1730
174.9600,0.6500,0.0000,17.0726,-1.1824
174.9700,0.6500,0.0000,17.0845,-1.1909
174.9800,0.6500,0.0000,17.0964,-1.1988
174.9900,0.6500,0.0000,17.1085,-1.2064
175.0000,0.6500,0.0000,17.1206,-1.2127
175.0100,0.6500,0.0000,17.1403,-1.9688
175.0200,0.6500,0.0000,17.1468,-0.6441
175.0300,0.6500,0.0000,17.1541,-0.7317
175.0400,0.6500,0.0000,17.1621,-0.7988
175.0500,0.6500,0.0000,17.1706,-0.8535
175.0600,0.6500,0.0000,17.1796,-0.8991
175.0700,0.6500,0.0000,17.1889,-0.9361
175.0800,0.6500,0.0000,17.1986,-0.9666
175.0900,0.6500,0.0000,17.2085,-0.9924
175.1000,0.6500,0.0000,17.2187,-1.0138
175.1100,0.6500,0.0000,17.2290,-1.0315
175.1200,0.6500,0.0000,17.2395,-1.0460
175.1300,0.6500,0.0000,17.2500,-1.0580
175.1400,0.6500,0.0000,17.2607,-1.0681
175.1500,0.6500,0.0000,17.2715,-1.0761
175.1600,0.6500,0.0000,17.2823,-1.0828
175.1700,0.6500,0.0000,17.2932,-1.0883
175.1800,0.6500,0.0000,17.3041,-1.0927
175.1900,0.6500,0.0000,17.3151,-1.0963
175.2000,0.6500,0.0000,17.3261,-1.0990
175.2100,0.6500,0.0000,17.3371,-1.1003
175.2200,0.6500,0.0000,17.3481,-1.1013
175.2300,0.6500,0.0000,17.3591,-1.1024
175.2400,0.6500,0.0000,17.3701,-1.1032
175.2500,0.6500,0.0000,17.3812,-1.1034
175.2600,0.6500,0.0000,17.3922,-1.1036
175.2700,0.6500,0.0000,17.4032,-1.1028
175.2800,0.6500,0.0000,17.4143,-1.1023
175.2900,0.6500,0.0000,17.4253,-1.1015
175.3000,0.6500,0.0000,17.4363,-1.1007
175.3100,0.6500,0.0000,17.4473,-1.0996
175.3200,0.6500,0.0000,17.4583,-1.0983
175.3300,0.6500,0.0000,17.4692,-1.0971
175.3400,0.6500,0.0000,17.4802,-1.0956
175.3500,0.6500,0.0000,17.4911,-1.0942
175.3600,0.6500,0.0000,17.5021,-1.0927
175.3700,0.6500,0.0000,17.5136,-1.1515
175.3800,0.6500,0.0000,17.5253,-1.1747
175.3900,0.6500,0.0000,17.5371,-1.1793
175.4000,0.6500,0.0000,17.5489,-1.1814
175.4100,0.6500,0.0000,17.5608,-1.1816
175.4200,0.6500,0.0000,17.5726,-1.1810
175.4300,0.6500,0.0000,17.5844,-1.1787
175.4400,0.6500,0.0000,17.5961,-1.1759
175.4500,0.6500,0.0000,17.6078,-1.1723
175.4600,0.6500,0.0000,17.6195,-1.1677
175.4700,0.6500,0.0000,17.6312,-1.1642
175.4800,0.6500,0.0000,17.6428,-1.1599
175.4900,0.6500,0.0000,17.6543,-1.1564
175.5000,0.6500,0.0000,17.6658,-1.1518
175.5100,0.6500,0.0000,17.6773,-1.1463
175.5200,0.6500,0.0000,17.6886,-1.1345
175.5300,0.6500,0.0000,17.6999,-1.1295
175.5400,0.6500,0.0000,17.7115,-1.1557
175.5500,0.6500,0.0000,17.7230,-1.1543
175.5600,0.6500,0.0000,17.7345,-1.1427
175.5700,0.6500,0.0000,17.7458,-1.1332
175.5800,0.6500,0.0000,17.7571,-1.1261
175.5900,0.6500,0.0000,17.7683,-1.1202
175.6000,0.6500,0.0000,17.7794,-1.1154
175.6100,0.6500,0.0000,17.7905,-1.1116
175.6200,0.6500,0.0000,17.8016,-1.1084
175.6300,0.6500,0.0000,17.8127,-1.1059
175.6400,0.6500,0.0000,17.8237,-1.1040
175.6500,0.6500,0.0000,17.8347,-1.1019
175.6600,0.6500,0.0000,17.8457,-1.1003
175.6700,0.6500,0.0000,17.8567,-1.0990
175.6800,0.6500,0.0000,17.8677,-1.0960
175.6900,0.6500,0.0000,17.8786,-1.0912
175.7000,0.6500,0.0000,17.8895,-1.0908
175.7100,0.6500,0.0000,17.9004,-1.0900
175.7200,0.6500,0.0000,17.9113,-1.0900
175.7300,0.6500,0.0000,17.9222,-1.0889
175.7400,0.6500,0.0000,17.9331,-1.0881
175.7500,0.6500,0.0000,17.9439,-1.0870
175.7600,0.6500,0.0000,17.9548,-1.0860
175.7700,0.6500,0.0000,17.9657,-1.0847
175.7800,0.6500,0.0000,17.9765,-1.0834
175.7900,0.6500,0.0000,17.9873,-1.0818
175.8000,0.6500,0.0000,17.9981,-1.0805
175.8100,0.6500,0.0000,18.0089,-1.0790
175.8200,0.6500,0.0000,18.0197,-1.0773
175.8300,0.6500,0.0000,18.0304,-1.0759
175.8400,0.6500,0.0000,18.0412,-1.0742
175.8500,0.6500,0.0000,18.0519,-1.0725
175.8600,0.6500,0.0000,18.0626,-1.0710
