time_s,throttle,brake,speed,accel
31.0900,0.7000,0.0000,29.3294,-0.0586
31.1000,0.7500,0.0000,29.3300,-0.0586
31.1100,0.7500,0.0000,29.3305,-0.0586
31.1200,0.7500,0.0000,29.3312,-0.0643
31.1300,0.7500,0.0000,29.3322,-0.0986
31.1400,0.7500,0.0000,29.3336,-0.1484
31.1500,0.7500,0.0000,29.3357,-0.2028
31.1600,0.7500,0.0000,29.3382,-0.2539
31.1700,0.7500,0.0000,29.3412,-0.3002
31.1800,0.7500,0.0000,29.3446,-0.3431
31.1900,0.7500,0.0000,29.3485,-0.3828
31.2000,0.7500,0.0000,29.3527,-0.4196
31.2100,0.7500,0.0000,29.3572,-0.4536
31.2200,0.7500,0.0000,29.3621,-0.4854
31.2300,0.7500,0.0000,29.3672,-0.5152
31.2400,0.7500,0.0000,29.3726,-0.5424
31.2500,0.7500,0.0000,29.3783,-0.5682
31.2600,0.7500,0.0000,29.3842,-0.5882
31.2700,0.7500,0.0000,29.3903,-0.6090
31.2800,0.7500,0.0000,29.3966,-0.6287
31.2900,0.7500,0.0000,29.4031,-0.6481
31.3000,0.7500,0.0000,29.4097,-0.6662
31.3100,0.7500,0.0000,29.4166,-0.6842
31.3200,0.7500,0.0000,29.4236,-0.7006
31.3300,0.7500,0.0000,29.4307,-0.7166
31.3400,0.7500,0.0000,29.4381,-0.7315
31.3500,0.7500,0.0000,29.4455,-0.7456
31.3600,0.7500,0.0000,29.4531,-0.7591
31.3700,0.7500,0.0000,29.4608,-0.7690
31.3800,0.7500,0.0000,29.4686,-0.7826
31.3900,0.7500,0.0000,29.4766,-0.7973
31.4000,0.7500,0.0000,29.4847,-0.8110
31.4100,0.7500,0.0000,29.4929,-0.8230
31.4200,0.7500,0.0000,29.5013,-0.8348
31.4300,0.7500,0.0000,29.5097,-0.8442
31.4400,0.7500,0.0000,29.5183,-0.8539
31.4500,0.7500,0.0000,29.5269,-0.8623
31.4600,0.7500,0.0000,29.5356,-0.8699
31.4700,0.7500,0.0000,29.5444,-0.8768
31.4800,0.7500,0.0000,29.5532,-0.8833
31.4900,0.7500,0.0000,29.5621,-0.8867
31.5000,0.7500,0.0000,29.5710,-0.8909
31.5100,0.7500,0.0000,29.5799,-0.8951
31.5200,0.7500,0.0000,29.5889,-0.8999
31.5300,0.7500,0.0000,29.5979,-0.9039
31.5400,0.7500,0.0000,29.6070,-0.9075
31.5500,0.7500,0.0000,29.6161,-0.9113
31.5600,0.7500,0.0000,29.6253,-0.9153
31.5700,0.7500,0.0000,29.6345,-0.9182
31.5800,0.7500,0.0000,29.6437,-0.9216
31.5900,0.7500,0.0000,29.6529,-0.9241
31.6000,0.7500,0.0000,29.6622,-0.9268
31.6100,0.7500,0.0000,29.6715,-0.9293
31.6200,0.7500,0.0000,29.6808,-0.9317
31.6300,0.7500,0.0000,29.6901,-0.9333
31.6400,0.7500,0.0000,29.6995,-0.9354
31.6500,0.7500,0.0000,29.7089,-0.9371
31.6600,0.7500,0.0000,29.7183,-0.9384
31.6700,0.7500,0.0000,29.7277,-0.9399
31.6800,0.7500,0.0000,29.7371,-0.9417
31.6900,0.7500,0.0000,29.7465,-0.9424
31.7000,0.7500,0.0000,29.7559,-0.9424
31.7100,0.7500,0.0000,29.7654,-0.9447
31.7200,0.7500,0.0000,29.7748,-0.9447
31.7300,0.7500,0.0000,29.7842,-0.9422
31.7400,0.7500,0.0000,29.7937,-0.9426
31.7500,0.7500,0.0000,29.8031,-0.9443
31.7600,0.7500,0.0000,29.7923,1.0763
31.7700,0.7500,0.0000,29.8004,-0.8083
31.7800,0.7500,0.0000,29.8099,-0.9485
31.7900,0.7500,0.0000,29.8196,-0.9636
31.8000,0.7500,0.0000,29.8292,-0.9634
31.8100,0.7500,0.0000,29.8388,-0.9609
