time_s,throttle_lead,brake_lead,speed_lead,accel_x_lead,local_sp_lead,dist_to_prev_lead,desired_dist_lead,throttle_1,brake_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,throttle_2,brake_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,throttle_3,brake_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3
0.0000,0.0000,0.0000,0.0980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0980,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0980,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0980,0.0000,0.0000,6.0000,10.5000
0.0100,1.0000,0.0000,0.1960,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.1960,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.1960,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.1960,0.0000,0.0000,6.0000,10.5000
0.0200,1.0000,0.0000,0.2940,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.2940,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.2940,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.2940,0.0000,0.0000,6.0000,10.5000
0.0300,1.0000,0.0000,0.3920,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.3920,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.3920,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.3920,0.0000,0.0000,6.0000,10.5000
0.0400,1.0000,0.0000,0.4900,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.4900,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.4900,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.4900,0.0000,0.0000,6.0000,10.5000
0.0500,1.0000,0.0000,0.5880,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.5880,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.5880,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.5880,0.0000,0.0000,6.0000,10.5000
0.0600,1.0000,0.0000,0.6860,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.6860,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.6860,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.6860,0.0000,0.0000,6.0000,10.5000
0.0700,1.0000,0.0000,0.7840,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.7840,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.7840,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.7840,0.0000,0.0000,6.0000,10.5000
0.0800,1.0000,0.0000,0.8820,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.8820,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.8820,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.8820,0.0000,0.0000,6.0000,10.5000
0.0900,1.0000,0.0000,0.9800,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,0.9800,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.9800,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.9800,0.0000,0.0000,6.0000,10.5000
0.1000,1.0000,0.0000,1.0780,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,1.0780,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.0780,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.0780,0.0000,0.0000,6.0000,10.5000
0.1100,1.0000,0.0000,1.1760,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,1.1760,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.1760,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.1760,0.0000,0.0000,6.0000,10.5000
0.1200,1.0000,0.0000,1.2740,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,1.2740,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.2740,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.2740,0.0000,0.0000,6.0000,10.5000
0.1300,1.0000,0.0000,1.3720,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,1.3720,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.3720,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.3720,0.0000,0.0000,6.0000,10.5000
0.1400,0.9998,0.0000,1.4700,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,1.4700,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.4700,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.4700,0.0000,0.0000,6.0000,10.5000
0.1500,0.9991,0.0000,1.5680,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,1.5680,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.5680,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.5680,0.0000,0.0000,6.0000,10.5000
0.1600,1.0000,0.0000,1.6660,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,1.6660,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.6660,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.6660,0.0000,0.0000,6.0000,10.5000
0.1700,0.9562,0.0000,1.7640,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,1.7640,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.7640,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.7640,0.0000,0.0000,6.0000,10.5000
0.1800,0.9543,0.0000,1.8620,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,1.8620,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.8620,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.8620,0.0000,0.0000,6.0000,10.5000
0.1900,0.9520,0.0000,1.9600,0.0000,11.0000,0.0000,0.0000,0.0000,1.0000,1.9600,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.9600,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,1.9600,0.0000,0.0000,6.0000,10.5000
0.2000,0.9492,0.0000,1.7713,-0.0016,11.0000,0.0000,0.0000,0.0000,1.0000,1.7713,-0.0016,-11.5000,6.0000,10.5000,0.0000,1.0000,1.7713,-0.0016,-11.5000,6.0000,10.5000,0.0000,1.0000,1.7713,-0.0016,0.0000,6.0000,10.5000
0.2100,1.0000,0.0000,1.5157,0.0003,11.0000,0.0000,0.0000,0.0000,1.0000,1.5157,0.0003,-11.5000,6.0000,10.5000,0.0000,1.0000,1.5157,0.0003,-11.5000,6.0000,10.5000,0.0000,1.0000,1.5157,0.0003,0.0000,6.0000,10.5000
0.2200,1.0000,0.0000,1.2915,0.0003,11.0000,0.0000,0.0000,0.0000,0.9766,1.2915,0.0003,-11.5000,6.0000,10.5000,0.0000,0.9766,1.2915,0.0003,-11.5000,6.0000,10.5000,0.0000,1.0000,1.2915,0.0004,0.0000,6.0000,10.5000
0.2300,1.0000,0.0000,1.0951,0.0003,11.0000,0.0000,0.0000,0.0000,0.9232,1.0951,0.0003,-11.5000,6.0000,10.5000,0.0000,0.9232,1.0951,0.0003,-11.5000,6.0000,10.5000,0.0000,1.0000,1.0951,0.0003,0.0000,6.0000,10.5000
0.2400,1.0000,0.0000,0.9233,0.0002,11.0000,0.0000,0.0000,0.0000,0.8824,0.9233,0.0002,-11.5000,6.0000,10.5000,0.0000,0.8824,0.9233,0.0002,-11.5000,6.0000,10.5000,0.0000,1.0000,0.9233,0.0002,0.0000,6.0000,10.5000
0.2500,1.0000,0.0000,0.7734,0.0002,11.0000,0.0000,0.0000,0.0000,0.8527,0.7734,0.0002,-11.5000,6.0000,10.5000,0.0000,0.8527,0.7734,0.0002,-11.5000,6.0000,10.5000,0.0000,1.0000,0.7734,0.0001,0.0000,6.0000,10.5000
0.2600,1.0000,0.0000,0.6428,0.0001,11.0000,0.0000,0.0000,0.0000,0.8329,0.6428,0.0001,-11.5000,6.0000,10.5000,0.0000,0.8329,0.6428,0.0001,-11.5000,6.0000,10.5000,0.0000,1.0000,0.6428,0.0001,0.0000,6.0000,10.5000
0.2700,1.0000,0.0000,0.5293,0.0000,11.0000,0.0000,0.0000,0.0000,0.8218,0.5293,0.0000,-11.5000,6.0000,10.5000,0.0000,0.8218,0.5293,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.5293,0.0001,0.0000,6.0000,10.5000
0.2800,1.0000,0.0000,0.4308,0.0001,11.0000,0.0000,0.0000,0.0000,0.8185,0.4308,0.0001,-11.5000,6.0000,10.5000,0.0000,0.8185,0.4308,0.0001,-11.5000,6.0000,10.5000,0.0000,1.0000,0.4308,0.0001,0.0000,6.0000,10.5000
0.2900,1.0000,0.0000,0.3457,0.0000,11.0000,0.0000,0.0000,0.0000,0.8221,0.3457,0.0000,-11.5000,6.0000,10.5000,0.0000,0.8221,0.3457,0.0000,-11.5000,6.0000,10.5000,0.0000,1.0000,0.3457,0.0001,0.0000,6.0000,10.5000
