wall_time_s,ros_time_s,free_heap_bytes,min_ever_free_heap_bytes,uros_stack_free_bytes,ctrl_stack_free_bytes,microros_alloc_count,microros_free_count,microros_realloc_count,microros_calloc_count,microros_used_bytes,microros_total_allocated_bytes,free_heap_bytes_rx_age_ms,min_ever_free_heap_bytes_rx_age_ms,uros_stack_free_bytes_rx_age_ms,ctrl_stack_free_bytes_rx_age_ms,microros_alloc_count_rx_age_ms,microros_free_count_rx_age_ms,microros_realloc_count_rx_age_ms,microros_calloc_count_rx_age_ms,microros_used_bytes_rx_age_ms,microros_total_allocated_bytes_rx_age_ms
1.004873,1769962266.288449,,,,,,,,,,,,,,,,,,,,
2.004896,1769962267.288470,,,,,,,,,,,,,,,,,,,,
3.004831,1769962268.288404,,,,,,,,,,,,,,,,,,,,
4.004830,1769962269.288403,,,,,,,,,,,,,,,,,,,,
5.004870,1769962270.288444,,,,,,,,,,,,,,,,,,,,
6.004840,1769962271.288414,,,,,,,,,,,,,,,,,,,,
7.004828,1769962272.288401,,,,,,,,,,,,,,,,,,,,
8.004842,1769962273.288416,,,,,,,,,,,,,,,,,,,,
9.004829,1769962274.288403,,,,,,,,,,,,,,,,,,,,
10.004827,1769962275.288400,,,,,,,,,,,,,,,,,,,,
11.004834,1769962276.288407,,,,,,,,,,,,,,,,,,,,
12.004825,1769962277.288399,,,,,,,,,,,,,,,,,,,,
13.004842,1769962278.288416,,,,,,,,,,,,,,,,,,,,
14.004827,1769962279.288400,,,,,,,,,,,,,,,,,,,,
15.004871,1769962280.288445,,,,,,,,,,,,,,,,,,,,
16.004834,1769962281.288407,,,,,,,,,,,,,,,,,,,,
17.004828,1769962282.288401,,,,,,,,,,,,,,,,,,,,
18.004828,1769962283.288402,,,,,,,,,,,,,,,,,,,,
19.004874,1769962284.288449,,,,,,,,,,,,,,,,,,,,
20.004873,1769962285.288447,,,,,,,,,,,,,,,,,,,,
21.004831,1769962286.288405,,,,,,,,,,,,,,,,,,,,
22.004827,1769962287.288401,,,,,,,,,,,,,,,,,,,,
23.004831,1769962288.288404,,,,,,,,,,,,,,,,,,,,
24.004842,1769962289.288416,,,,,,,,,,,,,,,,,,,,
25.004887,1769962290.288463,,,,,,,,,,,,,,,,,,,,
26.004848,1769962291.288421,,,,,,,,,,,,,,,,,,,,
27.004883,1769962292.288457,,,,,,,,,,,,,,,,,,,,
28.004894,1769962293.288469,,,,,,,,,,,,,,,,,,,,
29.004830,1769962294.288403,,,,,,,,,,,,,,,,,,,,
30.004833,1769962295.288407,,,,,,,,,,,,,,,,,,,,
31.004833,1769962296.288406,,,,,,,,,,,,,,,,,,,,
32.004834,1769962297.288406,,,,,,,,,,,,,,,,,,,,
33.004835,1769962298.288408,,,,,,,,,,,,,,,,,,,,
34.004857,1769962299.288430,,,,,,,,,,,,,,,,,,,,
35.004825,1769962300.288398,,,,,,,,,,,,,,,,,,,,
36.004837,1769962301.288410,,,,,,,,,,,,,,,,,,,,
37.004830,1769962302.288403,,,,,,,,,,,,,,,,,,,,
38.004833,1769962303.288406,,,,,,,,,,,,,,,,,,,,
39.004825,1769962304.288399,,,,,,,,,,,,,,,,,,,,
40.004833,1769962305.288406,,,,,,,,,,,,,,,,,,,,
41.004832,1769962306.288405,,,,,,,,,,,,,,,,,,,,
42.004864,1769962307.288438,,,,,,,,,,,,,,,,,,,,
43.004831,1769962308.288405,,,,,,,,,,,,,,,,,,,,
44.004842,1769962309.288415,,,,,,,,,,,,,,,,,,,,
45.004827,1769962310.288400,,,,,,,,,,,,,,,,,,,,
46.004867,1769962311.288441,,,,,,,,,,,,,,,,,,,,
47.004868,1769962312.288442,,,,,,,,,,,,,,,,,,,,
48.004835,1769962313.288408,,,,,,,,,,,,,,,,,,,,
49.004836,1769962314.288409,,,,,,,,,,,,,,,,,,,,
50.004829,1769962315.288402,,,,,,,,,,,,,,,,,,,,
51.004832,1769962316.288406,,,,,,,,,,,,,,,,,,,,
52.004830,1769962317.288403,,,,,,,,,,,,,,,,,,,,
53.004851,1769962318.288424,,,,,,,,,,,,,,,,,,,,
54.004827,1769962319.288400,,,,,,,,,,,,,,,,,,,,
55.004900,1769962320.288475,,,,,,,,,,,,,,,,,,,,
56.004882,1769962321.288456,,,,,,,,,,,,,,,,,,,,
57.004868,1769962322.288442,,,,,,,,,,,,,,,,,,,,
58.004840,1769962323.288414,,,,,,,,,,,,,,,,,,,,
59.004833,1769962324.288406,,,,,,,,,,,,,,,,,,,,
60.004849,1769962325.288422,,,,,,,,,,,,,,,,,,,,
61.004880,1769962326.288454,,,,,,,,,,,,,,,,,,,,
62.004833,1769962327.288407,,,,,,,,,,,,,,,,,,,,
63.004896,1769962328.288471,,,,,,,,,,,,,,,,,,,,
64.004867,1769962329.288441,,,,,,,,,,,,,,,,,,,,
65.004833,1769962330.288406,,,,,,,,,,,,,,,,,,,,
66.004833,1769962331.288406,,,,,,,,,,,,,,,,,,,,
67.004863,1769962332.288436,,,,,,,,,,,,,,,,,,,,
68.004832,1769962333.288405,,,,,,,,,,,,,,,,,,,,
69.004846,1769962334.288420,,,,,,,,,,,,,,,,,,,,
70.004830,1769962335.288403,,,,,,,,,,,,,,,,,,,,
71.004802,1769962336.288375,,,,,,,,,,,,,,,,,,,,
72.004822,1769962337.288396,,,,,,,,,,,,,,,,,,,,
73.004823,1769962338.288396,,,,,,,,,,,,,,,,,,,,
74.004819,1769962339.288392,,,,,,,,,,,,,,,,,,,,
75.004832,1769962340.288405,,,,,,,,,,,,,,,,,,,,
76.004839,1769962341.288414,,,,,,,,,,,,,,,,,,,,
77.004833,1769962342.288406,,,,,,,,,,,,,,,,,,,,
78.004846,1769962343.288419,,,,,,,,,,,,,,,,,,,,
79.004836,1769962344.288410,,,,,,,,,,,,,,,,,,,,
80.004826,1769962345.288399,,,,,,,,,,,,,,,,,,,,
81.004830,1769962346.288403,,,,,,,,,,,,,,,,,,,,
82.004812,1769962347.288384,,,,,,,,,,,,,,,,,,,,
83.004830,1769962348.288403,,,,,,,,,,,,,,,,,,,,
84.004821,1769962349.288395,,,,,,,,,,,,,,,,,,,,
85.004813,1769962350.288386,,,,,,,,,,,,,,,,,,,,
86.004838,1769962351.288412,,,,,,,,,,,,,,,,,,,,
87.004879,1769962352.288453,,,,,,,,,,,,,,,,,,,,
88.004852,1769962353.288427,,,,,,,,,,,,,,,,,,,,
89.004846,1769962354.288419,,,,,,,,,,,,,,,,,,,,
90.004863,1769962355.288437,,,,,,,,,,,,,,,,,,,,
91.004781,1769962356.288354,,,,,,,,,,,,,,,,,,,,
92.004862,1769962357.288437,,,,,,,,,,,,,,,,,,,,
93.004867,1769962358.288441,,,,,,,,,,,,,,,,,,,,
94.004848,1769962359.288421,,,,,,,,,,,,,,,,,,,,
95.004847,1769962360.288421,,,,,,,,,,,,,,,,,,,,
96.004851,1769962361.288424,,,,,,,,,,,,,,,,,,,,
97.004848,1769962362.288421,,,,,,,,,,,,,,,,,,,,
98.004863,1769962363.288436,,,,,,,,,,,,,,,,,,,,
