time_s,throttle,setpoint,brake,speed_m_s,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2
0.0000,1.0000,5.5500,0.0000,0.0004,-0.0269,0.0250,-5.2621
0.0100,1.0000,5.5500,0.0000,0.0008,-0.0231,0.0431,-3.4177
0.0200,1.0000,5.5500,0.0000,0.0012,-0.0201,0.0324,-2.7683
0.0300,1.0000,5.5500,0.0000,0.0015,-0.0172,0.0200,-2.2121
0.0400,1.0000,5.5500,0.0000,0.0017,-0.0143,0.0133,-1.7219
0.0500,1.0000,5.5500,0.0000,0.0018,-0.0115,0.0065,-1.3118
0.0600,1.0000,5.5500,0.0000,0.0019,-0.0092,0.0018,-0.9596
0.0700,1.0000,5.5500,0.0000,0.0019,-0.0069,-0.0002,-0.6539
0.0800,1.0000,5.5500,0.0000,0.0019,-0.0048,-0.0019,-0.3984
0.0900,1.0000,5.5500,0.0000,0.0019,-0.0032,-0.0047,-0.1850
0.1000,1.0000,5.5500,0.0000,0.0019,-0.0015,-0.0049,0.0010
0.1100,1.0000,5.5500,0.0000,0.0019,-0.0003,-0.0046,0.1436
0.1200,1.0000,5.5500,0.0000,0.0018,0.0009,-0.0058,0.2718
0.1300,1.0000,5.5500,0.0000,0.0018,0.0018,-0.0060,0.3694
0.1400,1.0000,5.5500,0.0000,0.0017,0.0026,-0.0045,0.4484
0.1500,1.0000,5.5500,0.0000,0.0017,0.0033,-0.0050,0.5121
0.1600,1.0000,5.5500,0.0000,0.0016,0.0039,-0.0056,0.5646
0.1700,1.0000,5.5500,0.0000,0.0015,0.0042,-0.0051,0.5981
0.1800,1.0000,5.5500,0.0000,0.0015,0.0045,-0.0051,0.6196
0.1900,1.0000,5.5500,0.0000,0.0014,0.0048,-0.0043,0.6382
0.2000,1.0000,5.5500,0.0000,0.0013,0.0051,-0.0041,0.6467
0.2100,1.0000,5.5500,0.0000,0.0013,0.0050,-0.0041,0.6464
0.2200,1.0000,5.5500,0.0000,0.0012,0.0050,-0.0039,0.6416
0.2300,1.0000,5.5500,0.0000,0.0012,0.0051,-0.0033,0.6390
0.2400,1.0000,5.5500,0.0000,0.0011,0.0051,-0.0025,0.6255
0.2500,1.0000,5.5500,0.0000,0.0010,0.0050,-0.0037,0.6087
0.2600,1.0000,5.5500,0.0000,0.0010,0.0048,-0.0029,0.5919
0.2700,1.0000,5.5500,0.0000,0.0009,0.0047,-0.0021,0.5741
0.2800,1.0000,5.5500,0.0000,0.0009,0.0046,-0.0025,0.5549
0.2900,1.0000,5.5500,0.0000,0.0008,0.0045,-0.0033,0.5315
0.3000,1.0000,5.5500,0.0000,0.0008,0.0042,-0.0029,0.5093
0.3100,1.0000,5.5500,0.0000,0.0007,0.0040,-0.0018,0.4898
0.3200,1.0000,5.5500,0.0000,0.0007,0.0040,-0.0015,0.4660
0.3300,1.0000,5.5500,0.0000,0.0006,0.0037,-0.0029,0.4437
0.3400,1.0000,5.5500,0.0000,0.0006,0.0035,-0.0016,0.4221
0.3500,1.0000,5.5500,0.0000,0.0006,0.0033,-0.0009,0.3997
0.3600,1.0000,5.5500,0.0000,0.0005,0.0033,-0.0013,0.3829
0.3700,1.0000,5.5500,0.0000,0.0005,0.0029,-0.0011,0.3562
0.3800,1.0000,5.5500,0.0000,0.0005,0.0029,-0.0016,0.3393
0.3900,1.0000,5.5500,0.0000,0.0004,0.0027,-0.0024,0.3217
0.4000,1.0000,5.5500,0.0000,0.0004,0.0024,-0.0007,0.2972
0.4100,1.0000,5.5500,0.0000,0.0004,0.0025,-0.0012,0.2859
0.4200,1.0000,5.5500,0.0000,0.0004,0.0021,-0.0013,0.2677
0.4300,1.0000,5.5500,0.0000,0.0034,-0.3193,-0.0004,0.2536
0.4400,0.9354,5.5500,0.0000,0.2717,-26.8240,-0.1076,0.6192
0.4500,0.9236,5.5500,0.0000,0.3637,-9.2080,-0.0364,0.3602
0.4600,0.8621,5.5500,0.0000,0.6184,-25.4624,-0.1023,0.5662
0.4700,0.8146,5.5500,0.0000,0.8241,-20.5732,-0.0844,0.4908
0.4800,0.8020,5.5500,0.0000,0.9133,-8.9152,-0.0357,0.3090
0.4900,0.7512,5.5500,0.0000,1.1269,-21.3679,-0.0863,0.4734
0.5000,0.7462,5.5500,0.0000,1.1880,-6.1042,-0.0237,0.2491
0.5100,0.6987,5.5500,0.0000,1.3882,-20.0201,-0.0811,0.4373
0.5200,0.6895,5.5500,0.0000,1.4602,-7.2067,-0.0299,0.2432
0.5300,0.6511,5.5500,0.0000,1.6278,-16.7570,-0.0692,0.3639
0.5400,0.6341,5.5500,0.0000,1.7233,-9.5508,-0.0394,0.2591
0.5500,0.6181,5.5500,0.0000,1.8145,-9.1214,-0.0365,0.2426
