time_s,ego_throttle,ego_setpoint_speed,ego_brake,ego_speed,ego_accel_abs,lead_throttle,lead_setpoint_speed,lead_brake,lead_speed,lead_accel_abs,lead_dist,desired_dist
0.0000,0.1303,0.6000,0.0000,0.0980,9.8000,0.0000,0.0000,0.0140,0.0526,5.2623,10.0001,8.0000
0.0100,0.1048,0.6000,0.0000,0.1960,9.8000,0.0000,0.0000,0.0232,0.0868,3.4181,10.0002,8.0000
0.0200,0.0792,0.6000,0.0000,0.2940,9.8000,0.0000,0.0000,0.0307,0.1145,2.7686,10.0003,8.0000
0.0300,0.0536,0.6000,0.0000,0.3920,9.8000,0.0000,0.0000,0.0367,0.1366,2.2123,10.0004,8.0000
0.0400,0.0278,0.6000,0.0000,0.4900,9.8000,0.0000,0.0000,0.0414,0.1538,1.7220,10.0006,8.0000
0.0500,0.0020,0.6000,0.0000,0.5880,9.8000,0.0000,0.0000,0.0451,0.1670,1.3119,10.0007,8.0000
0.0600,0.0000,0.6000,0.0240,0.6860,9.8000,0.0000,0.0000,0.0478,0.1765,0.9596,10.0009,8.0000
0.0700,0.0000,0.6000,0.0500,0.7840,9.8000,0.0000,0.0000,0.0497,0.1831,0.6539,10.0011,8.0000
0.0800,0.0000,0.6000,0.0762,0.8820,9.8000,0.0000,0.0000,0.0510,0.1871,0.3985,10.0013,8.0000
0.0900,0.0000,0.6000,0.1025,0.9800,9.8000,0.0000,0.0000,0.0517,0.1889,0.1851,10.0015,8.0000
0.1000,0.0000,0.6000,0.1288,1.0780,9.8000,0.0000,0.0000,0.0519,0.1889,0.0052,10.0017,8.0000
0.1100,0.0000,0.6000,0.1553,1.1760,9.8000,0.0000,0.0000,0.0517,0.1875,0.1436,10.0019,8.0000
0.1200,0.0000,0.6000,0.1819,1.2740,9.8000,0.0000,0.0000,0.0512,0.1848,0.2718,10.0021,8.0000
0.1300,0.0000,0.6000,0.2086,1.3720,9.8000,0.0000,0.0000,0.0504,0.1811,0.3695,10.0024,8.0000
0.1400,0.0000,0.6000,0.2266,1.4370,6.5018,0.0000,0.0000,0.0494,0.1766,0.4484,10.0025,8.0000
0.1500,0.0000,0.6003,0.2095,1.3698,6.8007,0.0000,0.0000,0.0482,0.1715,0.5121,10.0020,8.0000
0.1600,0.0000,0.6006,0.1903,1.2949,7.4985,0.0000,0.0000,0.0469,0.1658,0.5646,10.0012,8.0000
0.1700,0.0000,0.6009,0.1425,1.1133,18.1708,0.0000,0.0000,0.0455,0.1598,0.5981,10.0006,8.0000
0.1800,0.0000,0.6011,0.1019,0.9588,15.4484,0.0000,0.0000,0.0440,0.1536,0.6197,10.0001,8.0000
0.1900,0.0000,0.6013,0.0660,0.8230,13.5837,0.0000,0.0000,0.0425,0.1473,0.6382,9.9997,8.0000
0.2000,0.0000,0.6014,0.0344,0.7037,11.9273,0.0000,0.0000,0.0410,0.1408,0.6467,9.9995,8.0000
0.2100,0.0000,0.6015,0.0066,0.5991,10.4591,0.0000,0.0000,0.0394,0.1343,0.6465,9.9993,8.0000
0.2200,0.0178,0.6016,0.0000,0.5075,9.1611,0.0000,0.0000,0.0379,0.1279,0.6416,9.9992,8.0000
0.2300,0.0392,0.6012,0.0000,0.4274,8.0058,0.0000,0.0000,0.0363,0.1215,0.6391,9.9991,8.0000
0.2400,0.0580,0.6010,0.0000,0.3576,6.9869,0.0000,0.0000,0.0348,0.1153,0.6256,9.9991,8.0000
0.2500,0.0745,0.6008,0.0000,0.2967,6.0865,0.0000,0.0000,0.0333,0.1092,0.6087,9.9990,8.0000
0.2600,0.0889,0.6006,0.0000,0.2439,5.2838,0.0000,0.0000,0.0319,0.1032,0.5919,9.9991,8.0000
0.2700,0.1015,0.6005,0.0000,0.1980,4.5820,0.0000,0.0000,0.0305,0.0975,0.5741,9.9991,8.0000
0.2800,0.1125,0.6004,0.0000,0.1584,3.9615,0.0000,0.0000,0.0291,0.0920,0.5549,9.9991,8.0000
0.2900,0.1220,0.6003,0.0000,0.1243,3.4162,0.0000,0.0000,0.0278,0.0866,0.5315,9.9992,8.0000
0.3000,0.1303,0.6002,0.0000,0.0949,2.9320,0.0000,0.0000,0.0266,0.0816,0.5093,9.9992,8.0000
0.3100,0.1376,0.6002,0.0000,0.0698,2.5116,0.0000,0.0000,0.0254,0.0767,0.4898,9.9993,8.0000
0.3200,0.1438,0.6001,0.0000,0.0484,2.1440,0.0000,0.0000,0.0242,0.0720,0.4660,9.9993,8.0000
