time_s;throttle;brake;speed_m_s;accel_x_m_s2;accel_y_m_s2;accel_z_m_s2
0.0000;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.0100;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.0200;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.0300;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.0400;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.0500;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.0600;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.0700;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.0800;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.0900;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.1000;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.1100;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.1200;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.1300;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.1400;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.1500;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.1600;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.1700;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.1800;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.1900;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.2000;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.2100;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.2200;0.4608;0.0000;0.0000;0.0000;0.0000;-9.8000
0.2300;0.4608;0.0000;0.0184;-1.8087;0.3330;12.2791
0.2400;0.4608;0.0000;0.0172;0.3099;0.5145;22.8030
0.2500;0.4608;0.0000;0.0181;-0.1692;-0.1561;28.9742
0.2600;0.4608;0.0000;0.0150;0.2418;-0.2119;25.1564
0.2700;0.4608;0.0000;0.0125;0.2204;-0.1496;21.9581
0.2800;0.4608;0.0000;0.0104;0.1928;-0.1043;19.1418
0.2900;0.4608;0.0000;0.0086;0.1689;-0.0710;16.6393
0.3000;0.4608;0.0000;0.0070;0.1485;-0.0491;14.4429
0.3100;0.4608;0.0000;0.0057;0.1302;-0.0358;12.4927
0.3200;0.4608;0.0000;0.0045;0.1144;-0.0226;10.7847
0.3300;0.4608;0.0000;0.0035;0.1001;-0.0161;9.2714
0.3400;0.4608;0.0000;0.0026;0.0872;-0.0102;7.9521
0.3500;0.4608;0.0000;0.0019;0.0759;-0.0061;6.7872
0.3600;0.4608;0.0000;0.0012;0.0655;-0.0041;5.7684
0.3700;0.4608;0.0000;0.0007;0.0563;-0.0015;4.8773
0.3800;0.4608;0.0000;0.0002;0.0480;-0.0018;4.0976
0.3900;0.4608;0.0000;0.0002;0.0407;-0.0005;3.4195
0.4000;0.4608;0.0000;0.0006;0.0341;0.0010;2.8274
0.4100;0.4608;0.0000;0.0009;0.0282;0.0007;2.3135
0.4200;0.4608;0.0000;0.0011;0.0232;-0.0002;1.8678
0.4300;0.4608;0.0000;0.0013;0.0187;0.0010;1.4848
0.4400;0.4608;0.0000;0.0014;0.0147;0.0008;1.1543
0.4500;0.4608;0.0000;0.0015;0.0113;0.0007;0.8706
0.4600;0.4608;0.0000;0.0016;0.0085;0.0011;0.6299
0.4700;0.4608;0.0000;0.0017;0.0057;0.0006;0.4189
0.4800;0.4608;0.0000;0.0017;0.0036;-0.0007;0.2475
0.4900;0.4608;0.0000;0.0017;0.0017;-0.0002;0.1036
0.5000;0.4608;0.0000;0.0017;0.0002;0.0017;-0.0207
0.5100;0.4608;0.0000;0.0017;-0.0013;0.0002;-0.1254
0.5200;0.4608;0.0000;0.0017;-0.0022;-0.0001;-0.2079
0.5300;0.4608;0.0000;0.0017;-0.0032;-0.0004;-0.2738
0.5400;0.4608;0.0000;0.0016;-0.0039;0.0004;-0.3310
0.5500;0.4608;0.0000;0.0016;-0.0045;0.0006;-0.3682
0.5600;0.4608;0.0000;0.0015;-0.0049;0.0000;-0.4037
