time_s,throttle,brake,speed,accel
678.0000,0.3500,0.0000,7.7828,-0.0031
678.0100,0.3300,0.0000,7.7829,-0.0031
678.0200,0.3300,0.0000,7.7828,0.0034
678.0300,0.3300,0.0000,7.7826,0.0213
678.0400,0.3300,0.0000,7.7822,0.0380
678.0500,0.3300,0.0000,7.7817,0.0528
678.0600,0.3300,0.0000,7.7810,0.0664
678.0700,0.3300,0.0000,7.7803,0.0782
678.0800,0.3300,0.0000,7.7794,0.0890
678.0900,0.3300,0.0000,7.7784,0.0986
678.1000,0.3300,0.0000,7.7773,0.1072
678.1100,0.3300,0.0000,7.7762,0.1150
678.1200,0.3300,0.0000,7.7749,0.1217
678.1300,0.3300,0.0000,7.7737,0.1279
678.1400,0.3300,0.0000,7.7723,0.1336
678.1500,0.3300,0.0000,7.7709,0.1384
678.1600,0.3300,0.0000,7.7695,0.1428
678.1700,0.3300,0.0000,7.7680,0.1467
678.1800,0.3300,0.0000,7.7665,0.1501
678.1900,0.3300,0.0000,7.7650,0.1531
678.2000,0.3300,0.0000,7.7635,0.1558
678.2100,0.3300,0.0000,7.7619,0.1581
678.2200,0.3300,0.0000,7.7603,0.1602
678.2300,0.3300,0.0000,7.7587,0.1620
678.2400,0.3300,0.0000,7.7570,0.1636
678.2500,0.3300,0.0000,7.7554,0.1649
678.2600,0.3300,0.0000,7.7537,0.1661
678.2700,0.3300,0.0000,7.7520,0.1670
678.2800,0.3300,0.0000,7.7504,0.1680
678.2900,0.3300,0.0000,7.7487,0.1687
678.3000,0.3300,0.0000,7.7470,0.1693
678.3100,0.3300,0.0000,7.7453,0.1697
678.3200,0.3300,0.0000,7.7436,0.1703
678.3300,0.3300,0.0000,7.7419,0.1703
678.3400,0.3300,0.0000,7.7402,0.1709
678.3500,0.3300,0.0000,7.7385,0.1709
678.3600,0.3300,0.0000,7.7367,0.1709
678.3700,0.3300,0.0000,7.7350,0.1709
678.3800,0.3300,0.0000,7.7333,0.1709
678.3900,0.3300,0.0000,7.7316,0.1709
678.4000,0.3300,0.0000,7.7299,0.1708
678.4100,0.3300,0.0000,7.7282,0.1703
678.4200,0.3300,0.0000,7.7265,0.1703
678.4300,0.3300,0.0000,7.7248,0.1701
678.4400,0.3300,0.0000,7.7231,0.1697
678.4500,0.3300,0.0000,7.7214,0.1697
678.4600,0.3300,0.0000,7.7197,0.1691
678.4700,0.3300,0.0000,7.7180,0.1687
678.4800,0.3300,0.0000,7.7164,0.1678
678.4900,0.3300,0.0000,7.7147,0.1677
678.5000,0.3300,0.0000,7.7130,0.1673
678.5100,0.3300,0.0000,7.7113,0.1670
678.5200,0.3300,0.0000,7.7097,0.1666
678.5300,0.3300,0.0000,7.7080,0.1660
678.5400,0.3300,0.0000,7.7064,0.1657
678.5500,0.3300,0.0000,7.7047,0.1654
678.5600,0.3300,0.0000,7.7030,0.1648
678.5700,0.3300,0.0000,7.7014,0.1645
678.5800,0.3300,0.0000,7.6998,0.1640
678.5900,0.3300,0.0000,7.6981,0.1636
678.6000,0.3300,0.0000,7.6965,0.1631
678.6100,0.3300,0.0000,7.6949,0.1628
678.6200,0.3300,0.0000,7.6932,0.1624
678.6300,0.3300,0.0000,7.6916,0.1617
678.6400,0.3300,0.0000,7.6900,0.1613
678.6500,0.3300,0.0000,7.6884,0.1609
678.6600,0.3300,0.0000,7.6868,0.1605
678.6700,0.3300,0.0000,7.6852,0.1599
678.6800,0.3300,0.0000,7.6836,0.1595
678.6900,0.3300,0.0000,7.6820,0.1591
678.7000,0.3300,0.0000,7.6804,0.1587
678.7100,0.3300,0.0000,7.6788,0.1582
678.7200,0.3300,0.0000,7.6773,0.1577
678.7300,0.3300,0.0000,7.6757,0.1573
678.7400,0.3300,0.0000,7.6741,0.1569
678.7500,0.3300,0.0000,7.6726,0.1562
678.7600,0.3300,0.0000,7.6710,0.1558
678.7700,0.3300,0.0000,7.6695,0.1554
678.7800,0.3300,0.0000,7.6679,0.1550
678.7900,0.3300,0.0000,7.6664,0.1544
