time_s,throttle,brake,speed,accel
100.0600,0.5500,0.0000,16.8230,0.3174
100.0700,0.6500,0.0000,16.8202,0.2821
100.0800,0.6500,0.0000,16.8177,0.2480
100.0900,0.6500,0.0000,16.8159,0.1780
100.1000,0.6500,0.0000,16.8152,0.0721
100.1100,0.6500,0.0000,16.8155,-0.0332
100.1200,0.6500,0.0000,16.8168,-0.1286
100.1300,0.6500,0.0000,16.8189,-0.2155
100.1400,0.6500,0.0000,16.8219,-0.2951
100.1500,0.6500,0.0000,16.8256,-0.3675
100.1600,0.6500,0.0000,16.8299,-0.4335
100.1700,0.6500,0.0000,16.8348,-0.4938
100.1800,0.6500,0.0000,16.8403,-0.5487
100.1900,0.6500,0.0000,16.8463,-0.5991
100.2000,0.6500,0.0000,16.8528,-0.6449
100.2100,0.6500,0.0000,16.8597,-0.6874
100.2200,0.6500,0.0000,16.8669,-0.7259
100.2300,0.6500,0.0000,16.8745,-0.7612
100.2400,0.6500,0.0000,16.8825,-0.7936
100.2500,0.6500,0.0000,16.8907,-0.8236
100.2600,0.6500,0.0000,16.8992,-0.8503
100.2700,0.6500,0.0000,16.9080,-0.8753
100.2800,0.6500,0.0000,16.9169,-0.8982
100.2900,0.6500,0.0000,16.9261,-0.9193
100.3000,0.6500,0.0000,16.9355,-0.9384
100.3100,0.6500,0.0000,16.9451,-0.9560
100.3200,0.6500,0.0000,16.9548,-0.9718
100.3300,0.6500,0.0000,16.9647,-0.9865
100.3400,0.6500,0.0000,16.9747,-1.0002
100.3500,0.6500,0.0000,16.9848,-1.0124
100.3600,0.6500,0.0000,16.9950,-1.0233
100.3700,0.6500,0.0000,17.0054,-1.0370
100.3800,0.6500,0.0000,17.0165,-1.1076
100.3900,0.6500,0.0000,17.0278,-1.1366
100.4000,0.6500,0.0000,17.0393,-1.1505
100.4100,0.6500,0.0000,17.0509,-1.1606
100.4200,0.6500,0.0000,17.0626,-1.1679
100.4300,0.6500,0.0000,17.0744,-1.1740
100.4400,0.6500,0.0000,17.0861,-1.1789
100.4500,0.6500,0.0000,17.0980,-1.1824
100.4600,0.6500,0.0000,17.1098,-1.1847
100.4700,0.6500,0.0000,17.1217,-1.1869
100.4800,0.6500,0.0000,17.1336,-1.1877
100.4900,0.6500,0.0000,17.1455,-1.1889
100.5000,0.6500,0.0000,17.1573,-1.1890
100.5100,0.6500,0.0000,17.1692,-1.1890
100.5200,0.6500,0.0000,17.1811,-1.1883
100.5300,0.6500,0.0000,17.1929,-1.1808
100.5400,0.6500,0.0000,17.2047,-1.1774
100.5500,0.6500,0.0000,17.2166,-1.1869
100.5600,0.6500,0.0000,17.2287,-1.2123
100.5700,0.6500,0.0000,17.2407,-1.2016
100.5800,0.6500,0.0000,17.2527,-1.1940
