time_s,throttle_lead,brake_lead,speed_lead,accel_x_lead,local_sp_lead,dist_to_prev_lead,desired_dist_lead,throttle_1,brake_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,throttle_2,brake_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,throttle_3,brake_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3,throttle_4,brake_4,speed_4,accel_x_4,local_sp_4,dist_to_prev_4,desired_dist_4
0.0000,0.0000,0.0000,0.0980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0980,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0980,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0980,0.0000,0.0000,6.0000,10.5000,0.0000,0.0000,0.0980,0.0000,0.0000,6.0000,10.5000
0.0100,0.0000,0.0427,0.1960,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1960,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.1960,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.1960,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.1960,0.0000,-22.5000,6.0000,10.5000
0.0200,0.0000,0.0858,0.2940,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2940,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.2940,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.2940,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.2940,0.0000,-22.5000,6.0000,10.5000
0.0300,0.0000,0.1294,0.3920,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3920,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.3920,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.3920,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.3920,0.0000,-22.5000,6.0000,10.5000
0.0400,0.0000,0.1733,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.4900,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.4900,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.4900,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.4900,0.0000,-22.5000,6.0000,10.5000
0.0500,0.0000,0.2177,0.5880,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.5880,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.5880,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.5880,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.5880,0.0000,-22.5000,6.0000,10.5000
0.0600,0.0000,0.2626,0.6860,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.6860,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.6860,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.6860,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.6860,0.0000,-22.5000,6.0000,10.5000
0.0700,0.0000,0.3078,0.7840,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7840,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.7840,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.7840,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.7840,0.0000,-22.5000,6.0000,10.5000
0.0800,0.0000,0.3535,0.8820,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.8820,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.8820,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.8820,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.8820,0.0000,-22.5000,6.0000,10.5000
0.0900,0.0000,0.3996,0.9800,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9800,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.9800,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.9800,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.9800,0.0000,-22.5000,6.0000,10.5000
