time_s,throttle,setpoint,brake,speed_m_s,accel_x,accel_y,accel_z
0.0000,1.0000,22.2200,0.0000,0.0004,-0.0269,0.0250,-5.2621
0.0100,1.0000,22.2200,0.0000,0.0008,-0.0231,0.0431,-3.4177
0.0200,1.0000,22.2200,0.0000,0.0012,-0.0201,0.0324,-2.7683
0.0300,1.0000,22.2200,0.0000,0.0015,-0.0172,0.0200,-2.2121
0.0400,1.0000,22.2200,0.0000,0.0017,-0.0143,0.0133,-1.7219
0.0500,1.0000,22.2200,0.0000,0.0018,-0.0115,0.0065,-1.3118
0.0600,1.0000,22.2200,0.0000,0.0019,-0.0092,0.0018,-0.9596
0.0700,1.0000,22.2200,0.0000,0.0019,-0.0069,-0.0002,-0.6539
0.0800,1.0000,22.2200,0.0000,0.0019,-0.0048,-0.0019,-0.3984
0.0900,1.0000,22.2200,0.0000,0.0019,-0.0032,-0.0047,-0.1850
0.1000,1.0000,22.2200,0.0000,0.0019,-0.0015,-0.0049,0.0010
0.1100,1.0000,22.2200,0.0000,0.0019,-0.0003,-0.0046,0.1436
0.1200,1.0000,22.2200,0.0000,0.0018,0.0009,-0.0058,0.2718
0.1300,1.0000,22.2200,0.0000,0.0018,0.0018,-0.0060,0.3694
0.1400,1.0000,22.2200,0.0000,0.0017,0.0026,-0.0045,0.4484
0.1500,1.0000,22.2200,0.0000,0.0017,0.0033,-0.0050,0.5121
0.1600,1.0000,22.2200,0.0000,0.0016,0.0039,-0.0056,0.5646
0.1700,1.0000,22.2200,0.0000,0.0015,0.0042,-0.0051,0.5981
0.1800,1.0000,22.2200,0.0000,0.0015,0.0045,-0.0051,0.6196
0.1900,1.0000,22.2200,0.0000,0.0014,0.0048,-0.0043,0.6382
0.2000,1.0000,22.2200,0.0000,0.0013,0.0051,-0.0041,0.6467
0.2100,1.0000,22.2200,0.0000,0.0013,0.0050,-0.0041,0.6464
0.2200,1.0000,22.2200,0.0000,0.0012,0.0050,-0.0039,0.6416
0.2300,1.0000,22.2200,0.0000,0.0012,0.0051,-0.0033,0.6390
0.2400,1.0000,22.2200,0.0000,0.0011,0.0051,-0.0025,0.6255
0.2500,1.0000,22.2200,0.0000,0.0010,0.0050,-0.0037,0.6087
0.2600,1.0000,22.2200,0.0000,0.0010,0.0048,-0.0029,0.5919
0.2700,1.0000,22.2200,0.0000,0.0009,0.0047,-0.0021,0.5741
0.2800,1.0000,22.2200,0.0000,0.0009,0.0046,-0.0025,0.5549
0.2900,1.0000,22.2200,0.0000,0.0008,0.0045,-0.0033,0.5315
0.3000,1.0000,22.2200,0.0000,0.0008,0.0042,-0.0029,0.5093
0.3100,1.0000,22.2200,0.0000,0.0007,0.0040,-0.0018,0.4898
0.3200,1.0000,22.2200,0.0000,0.0007,0.0040,-0.0015,0.4660
0.3300,1.0000,22.2200,0.0000,0.0006,0.0037,-0.0029,0.4437
0.3400,1.0000,22.2200,0.0000,0.0006,0.0035,-0.0016,0.4221
0.3500,1.0000,22.2200,0.0000,0.0006,0.0033,-0.0009,0.3997
0.3600,1.0000,22.2200,0.0000,0.0005,0.0033,-0.0013,0.3829
0.3700,1.0000,22.2200,0.0000,0.0005,0.0029,-0.0011,0.3562
0.3800,1.0000,22.2200,0.0000,0.0005,0.0029,-0.0016,0.3393
0.3900,1.0000,22.2200,0.0000,0.0004,0.0027,-0.0024,0.3217
0.4000,1.0000,22.2200,0.0000,0.0004,0.0024,-0.0007,0.2972
0.4100,1.0000,22.2200,0.0000,0.0004,0.0025,-0.0012,0.2859
0.4200,1.0000,22.2200,0.0000,0.0004,0.0021,-0.0013,0.2677
0.4300,1.0000,22.2200,0.0000,0.0004,0.0021,-0.0013,0.2515
0.4400,1.0000,22.2200,0.0000,0.0034,-0.3191,-0.0003,0.2400
0.4500,0.9803,22.2200,0.0000,0.2714,-26.8014,-0.1075,0.6017
0.4600,1.0000,22.2200,0.0000,0.3677,-9.6285,-0.0387,0.3488
0.4700,0.9844,22.2200,0.0000,0.6227,-25.4964,-0.1031,0.5612
0.4800,1.0000,22.2200,0.0000,0.6864,-6.3734,-0.0245,0.2694
0.4900,0.9862,22.2200,0.0000,0.9339,-24.7540,-0.0992,0.5280
0.5000,1.0000,22.2200,0.0000,1.1118,-17.7875,-0.0732,0.4114
0.5100,1.0000,22.2200,0.0000,1.1910,-7.9177,-0.0314,0.2637
0.5200,1.0000,22.2200,0.0000,1.4000,-20.8994,-0.0845,0.4370
0.5300,1.0000,22.2200,0.0000,1.5444,-14.4432,-0.0596,0.3354
0.5400,1.0000,22.2200,0.0000,1.6835,-13.9091,-0.0569,0.3193
0.5500,1.0000,22.2200,0.0000,1.7676,-8.4060,-0.0343,0.2326
0.5600,1.0000,22.2200,0.0000,1.9249,-15.7340,-0.0634,0.3299
0.5700,1.0000,22.2200,0.0000,2.0424,-11.7481,-0.0481,0.2652
0.5800,1.0000,22.2200,0.0000,2.1662,-12.3797,-0.0501,0.2631
0.5900,1.0000,22.2200,0.0000,2.2734,-10.7199,-0.0435,0.2411
0.6000,1.0000,22.2200,0.0000,2.3868,-11.3388,-0.0462,0.2392
0.6100,1.0000,22.2200,0.0000,2.4859,-9.9147,-0.0401,0.2152
0.6200,1.0000,22.2200,0.0000,2.5901,-10.4167,-0.0423,0.2161
0.6300,1.0000,22.2200,0.0000,2.6834,-9.3340,-0.0382,0.1943
0.6400,1.0000,22.2200,0.0000,2.7799,-9.6431,-0.0391,0.1976
0.6500,1.0000,22.2200,0.0000,2.8688,-8.8930,-0.0357,0.1831
0.6600,1.0000,22.2200,0.0000,2.9588,-9.0009,-0.0362,0.1751
0.6700,1.0000,22.2200,0.0000,3.0442,-8.5357,-0.0344,0.1691
0.6800,1.0000,22.2200,0.0000,3.1291,-8.4963,-0.0346,0.1642
0.6900,1.0000,22.2200,0.0000,3.2114,-8.2239,-0.0331,0.1575
0.7000,1.0000,22.2200,0.0000,3.2926,-8.1175,-0.0329,0.1542
0.7100,1.0000,22.2200,0.0000,3.3720,-7.9491,-0.0318,0.1476
0.7200,1.0000,22.2200,0.0000,3.4504,-7.8339,-0.0316,0.1442
0.7300,1.0000,22.2200,0.0000,3.5275,-7.7146,-0.0310,0.1407
0.7400,1.0000,22.2200,0.0000,3.6037,-7.6143,-0.0304,0.1364
0.7500,1.0000,22.2200,0.0000,3.6789,-7.5215,-0.0300,0.1325
0.7600,1.0000,22.2200,0.0000,3.7533,-7.4395,-0.0301,0.1301
0.7700,1.0000,22.2200,0.0000,3.8269,-7.3649,-0.0300,0.1282
0.7800,1.0000,22.2200,0.0000,3.8999,-7.2984,-0.0295,0.1259
0.7900,1.0000,22.2200,0.0000,3.9723,-7.2383,-0.0289,0.1238
0.8000,1.0000,22.2200,0.0000,4.0441,-7.1837,-0.0287,0.1178
0.8100,1.0000,22.2200,0.0000,4.1155,-7.1355,-0.0286,0.1175
0.8200,1.0000,22.2200,0.0000,4.1864,-7.0910,-0.0283,0.1156
0.8300,1.0000,22.2200,0.0000,4.2569,-7.0513,-0.0283,0.1146
0.8400,1.0000,22.2200,0.0000,4.3271,-7.0152,-0.0282,0.1139
0.8500,1.0000,22.2200,0.0000,4.3969,-6.9823,-0.0281,0.1116
0.8600,1.0000,22.2200,0.0000,4.4664,-6.9529,-0.0282,0.1075
