time_s,teleport_event,throttle_0,brake_0,speed_0,accel_x_0,local_sp_0,dist_to_prev_0,desired_dist_0,dist_err_0,vel_diff_0,ttc_0,throttle_1,brake_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,dist_err_1,vel_diff_1,ttc_1,throttle_2,brake_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,dist_err_2,vel_diff_2,ttc_2,throttle_3,brake_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3,dist_err_3,vel_diff_3,ttc_3
0.0000,0,0.0000,0.0000,0.0392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0392,0.0000,0.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0000,0.0000,0.0392,0.0000,0.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0000,0.0000,0.0392,0.0000,0.0000,15.0000,7.0000,8.0000,0.0000,inf
0.0100,0,0.5428,0.0000,0.1019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.1019,0.0000,0.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0000,0.0000,0.1019,0.0000,0.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0000,0.0000,0.1019,0.0000,0.0000,15.0000,7.0000,8.0000,0.0000,inf
0.0200,0,0.5428,0.0000,0.1788,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,inf,1.0000,0.0000,0.1788,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,1.0000,0.0000,0.1788,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0000,0.0000,0.1788,0.0000,0.0000,15.0000,7.0000,8.0000,0.0000,inf
0.0300,0,0.5383,0.0000,0.2641,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,inf,0.9995,0.0000,0.2641,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.9995,0.0000,0.2641,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0001,0.0000,0.2641,0.0000,0.0000,15.0000,7.0000,8.0000,0.0000,inf
0.0400,0,0.5323,0.0000,0.3544,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,inf,0.9974,0.0000,0.3544,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.9974,0.0000,0.3544,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0000,0.0000,0.3544,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf
0.0500,0,0.5254,0.0000,0.4479,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,inf,0.9944,0.0000,0.4479,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.9944,0.0000,0.4479,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0000,0.0000,0.4479,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf
0.0600,0,0.5178,0.0000,0.5431,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,inf,0.9907,0.0000,0.5431,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.9907,0.0000,0.5431,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0000,0.0000,0.5431,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf
0.0700,0,0.5099,0.0000,0.6395,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,inf,0.9867,0.0000,0.6395,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.9867,0.0000,0.6395,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0000,0.0000,0.6395,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf
0.0800,0,0.5099,0.0000,0.7365,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,inf,0.9867,0.0000,0.7365,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.9867,0.0000,0.7365,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0000,0.0000,0.7365,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf
0.0900,0,0.5039,0.0000,0.8339,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,inf,0.9675,0.0000,0.8339,0.0000,12.9036,15.0000,7.0000,8.0000,0.0000,inf,0.9780,0.0000,0.8339,0.0000,13.0000,15.0000,7.0000,8.0000,0.0000,inf,0.0092,0.0000,0.8339,0.0000,12.9036,15.0000,7.0000,8.0000,0.0000,inf
