step_idx,wall_time_s,speed_meas,speed_sp,dist_to_veh,platoon_sp,local_setpoint_base
0,1769745379.303161621,0.039200,0.000000,0.000000,0.000000,0.000000
1,1769745379.346918583,0.101920,0.000000,0.000000,0.000000,0.000000
2,1769745379.358389378,0.178752,0.000000,0.000000,0.000000,0.000000
3,1769745379.368175030,0.264051,0.000000,0.000000,0.000000,0.000000
4,1769745379.376360178,0.354431,0.000000,0.000000,0.000000,0.000000
5,1769745379.383639097,0.447858,0.000000,0.000000,0.000000,0.000000
6,1769745379.392384768,0.543115,0.000000,0.000000,0.000000,0.000000
7,1769745379.403182268,0.639469,0.000000,0.000000,0.000000,0.000000
8,1769745379.413624525,0.736481,0.000000,0.000000,0.000000,0.000000
9,1769745379.424410582,0.833889,0.000000,0.000000,0.000000,0.000000
10,1769745379.434628725,0.931533,0.000000,0.000000,0.000000,0.000000
11,1769745379.445837736,1.029320,0.000000,0.000000,0.000000,0.000000
12,1769745379.456928253,1.127192,0.000000,0.000000,0.000000,0.000000
13,1769745379.472362041,1.225115,0.000000,0.000000,0.000000,0.000000
14,1769745379.483335257,1.323069,0.000000,0.000000,0.000000,0.000000
15,1769745379.494419575,1.421042,0.000000,0.000000,0.000000,0.000000
16,1769745379.504506826,1.519025,0.000000,0.000000,0.000000,0.000000
17,1769745379.514691830,1.617015,0.000000,0.000000,0.000000,0.000000
18,1769745379.524946690,1.715009,0.000000,0.000000,0.000000,0.000000
19,1769745379.535024166,1.813006,0.000000,0.000000,0.000000,0.000000
20,1769745379.545995474,1.796327,0.000000,0.000000,0.000000,0.000000
21,1769745379.556079388,1.684075,0.000000,0.000000,0.000000,0.000000
22,1769745379.567100048,1.527030,0.000000,0.000000,0.000000,0.000000
23,1769745379.577155352,1.354240,0.000000,0.000000,0.000000,0.000000
24,1769745379.588420630,1.181867,0.000000,0.000000,0.000000,0.000000
25,1769745379.598388910,1.018479,0.000000,0.000000,0.000000,0.000000
26,1769745379.609120607,0.868208,0.000000,0.000000,0.000000,0.000000
27,1769745379.619614363,0.732635,0.000000,0.000000,0.000000,0.000000
28,1769745379.628680229,0.611911,0.000000,0.000000,0.000000,0.000000
29,1769745379.639825583,0.505415,0.000000,0.000000,0.000000,0.000000
30,1769745379.650694609,0.412140,0.000000,0.000000,0.000000,0.000000
31,1769745379.660259485,0.330920,0.000000,0.000000,0.000000,0.000000
32,1769745379.671174765,0.260557,0.000000,0.000000,0.000000,0.000000
33,1769745379.680630922,0.199886,0.000000,0.000000,0.000000,0.000000
34,1769745379.690270424,0.147817,0.000000,0.000000,0.000000,0.000000
35,1769745379.700783730,0.103347,0.000000,0.000000,0.000000,0.000000
36,1769745379.714565039,0.065563,0.000000,0.000000,0.000000,0.000000
37,1769745379.725156546,0.045028,0.000000,0.000000,0.000000,0.000000
38,1769745379.736257076,0.040340,0.000000,0.000000,0.000000,0.000000
39,1769745379.747270823,0.043760,0.000000,0.000000,0.000000,0.000000
40,1769745379.756254435,0.050832,0.000000,0.000000,0.000000,0.000000
41,1769745379.766751051,0.059050,0.000000,0.000000,0.000000,0.000000
42,1769745379.776892424,0.067055,0.000000,0.000000,0.000000,0.000000
43,1769745379.787242651,0.074161,0.000000,0.000000,0.000000,0.000000
44,1769745379.797615528,0.074161,0.000000,0.000000,0.000000,0.000000
45,1769745379.808307886,0.084697,0.000000,0.000000,0.000000,0.000000
46,1769745379.818358183,0.088084,0.000000,0.000000,0.000000,0.000000
47,1769745379.829019785,0.090329,0.000000,0.000000,0.000000,0.000000
48,1769745379.839089870,0.091555,0.000000,0.000000,0.000000,0.000000
49,1769745379.849280834,0.091895,0.000000,0.000000,0.000000,0.000000
50,1769745379.859564543,0.091479,0.000000,0.000000,0.000000,0.000000
51,1769745379.870682716,0.090427,0.000000,0.000000,0.000000,0.000000
52,1769745379.881265402,0.088848,0.000000,0.000000,0.000000,0.000000
53,1769745379.891929388,0.086841,0.000000,0.000000,0.000000,0.000000
54,1769745379.902201653,0.084491,0.000000,0.000000,0.000000,0.000000
55,1769745379.912412882,0.081874,0.000000,0.000000,0.000000,0.000000
56,1769745379.922904730,0.079055,0.000000,0.000000,0.000000,0.000000
57,1769745379.933467388,0.076089,0.000000,0.000000,0.000000,0.000000
58,1769745379.943582296,0.073026,0.000000,0.000000,0.000000,0.000000
59,1769745379.955041170,0.069906,0.000000,0.000000,0.000000,0.000000
60,1769745379.968401432,0.066762,0.000000,0.000000,0.000000,0.000000
61,1769745379.980342627,0.063623,0.000000,0.000000,0.000000,0.000000
62,1769745379.992674112,0.060514,0.000000,0.000000,0.000000,0.000000
63,1769745380.000724792,0.057455,0.000000,0.000000,0.000000,0.000000
64,1769745380.009998083,0.054460,0.000000,0.000000,0.000000,0.000000
65,1769745380.020641088,0.054460,0.000000,0.000000,0.000000,0.000000
66,1769745380.029485464,0.048712,0.000000,0.000000,0.000000,0.000000
67,1769745380.040709496,0.045977,0.000000,0.000000,0.000000,0.000000
68,1769745380.051328659,0.043341,0.000000,0.000000,0.000000,0.000000
69,1769745380.061805487,0.040811,0.000000,0.000000,0.000000,0.000000
70,1769745380.072349787,0.038387,0.000000,0.000000,0.000000,0.000000
71,1769745380.082382441,0.036071,0.000000,0.000000,0.000000,0.000000
72,1769745380.092002392,0.033863,0.000000,0.000000,0.000000,0.000000
73,1769745380.102629900,0.031761,0.000000,0.000000,0.000000,0.000000
74,1769745380.113092184,0.029765,0.000000,0.000000,0.000000,0.000000
75,1769745380.124238014,0.027872,0.000000,0.000000,0.000000,0.000000
76,1769745380.134322166,0.026080,0.000000,0.000000,0.000000,0.000000
77,1769745380.144837856,0.024386,0.000000,0.000000,0.000000,0.000000
78,1769745380.155213833,0.024386,0.000000,0.000000,0.000000,0.000000
79,1769745380.165902376,0.021278,0.000000,0.000000,0.000000,0.000000
80,1769745380.176590443,0.019857,0.000000,0.000000,0.000000,0.000000
81,1769745380.186196566,0.018520,0.000000,0.000000,0.000000,0.000000
82,1769745380.196843147,0.017263,0.000000,0.000000,0.000000,0.000000
83,1769745380.207153320,0.016084,0.000000,0.000000,0.000000,0.000000
84,1769745380.217229366,0.014977,0.000000,0.000000,0.000000,0.000000
85,1769745380.228956223,0.013939,0.000000,0.000000,0.000000,0.000000
86,1769745380.239591360,0.012968,0.000000,0.000000,0.000000,0.000000
87,1769745380.249432325,0.012058,0.000000,0.000000,0.000000,0.000000
88,1769745380.259254217,0.011208,0.000000,0.000000,0.000000,0.000000
89,1769745380.269232512,0.010413,0.000000,0.000000,0.000000,0.000000
90,1769745380.279329062,0.009671,0.000000,0.000000,0.000000,0.000000
91,1769745380.289901972,0.008978,0.000000,0.000000,0.000000,0.000000
92,1769745380.299886942,0.008332,0.000000,0.000000,0.000000,0.000000
93,1769745380.310058355,0.007730,0.000000,0.000000,0.000000,0.000000
94,1769745380.321009636,0.007168,0.000000,0.000000,0.000000,0.000000
95,1769745380.331584930,0.006645,0.000000,0.000000,0.000000,0.000000
96,1769745380.341037750,0.006158,0.000000,0.000000,0.000000,0.000000
97,1769745380.351821661,0.005706,0.000000,0.000000,0.000000,0.000000
98,1769745380.361436605,0.005285,0.000000,0.000000,0.000000,0.000000
99,1769745380.371944427,0.004893,0.000000,0.000000,0.000000,0.000000
100,1769745380.382377386,0.004529,0.000000,0.000000,0.000000,0.000000
101,1769745380.392836094,0.004191,0.000000,0.000000,0.000000,0.000000
102,1769745380.403208494,0.003878,0.000000,0.000000,0.000000,0.000000
103,1769745380.412594795,0.003586,0.000000,0.000000,0.000000,0.000000
104,1769745380.423204660,0.003316,0.000000,0.000000,0.000000,0.000000
105,1769745380.433192492,0.003066,0.000000,0.000000,0.000000,0.000000
106,1769745380.443529606,0.002834,0.000000,0.000000,0.000000,0.000000
107,1769745380.454187870,0.002618,0.000000,0.000000,0.000000,0.000000
108,1769745380.464237213,0.002419,0.000000,0.000000,0.000000,0.000000
109,1769745380.475000143,0.002234,0.000000,0.000000,0.000000,0.000000
110,1769745380.485033512,0.002063,0.000000,0.000000,0.000000,0.000000
111,1769745380.495575428,0.001905,0.000000,0.000000,0.000000,0.000000
112,1769745380.505761862,0.001758,0.000000,0.000000,0.000000,0.000000
113,1769745380.515612602,0.001623,0.000000,0.000000,0.000000,0.000000
114,1769745380.526247263,0.001498,0.000000,0.000000,0.000000,0.000000
115,1769745380.536155462,0.000899,0.000000,0.000000,0.000000,0.000000
116,1769745380.546650171,0.000646,0.000000,0.000000,0.000000,0.000000
117,1769745380.556809187,0.000524,0.000000,0.000000,0.000000,0.000000
118,1769745380.567337275,0.000474,0.000000,0.000000,0.000000,0.000000
119,1769745380.577583790,0.000462,0.000000,0.000000,0.000000,0.000000
120,1769745380.587803125,0.000462,0.000000,0.000000,0.000000,0.000000
