step_idx,wall_time_s,speed_meas,speed_sp,dist_to_veh,platoon_sp,local_setpoint_base
0,1766416310.958521128,0.098000,0.000000,0.000000,0.000000,0.000000
1,1766416310.969459057,0.196000,0.000000,0.000000,0.000000,0.000000
2,1766416310.980655670,0.294000,0.000000,0.000000,0.000000,0.000000
3,1766416310.992357254,0.392000,0.000000,0.000000,0.000000,0.000000
4,1766416311.003843784,0.490000,0.000000,0.000000,0.000000,0.000000
5,1766416311.015356779,0.588000,0.000000,0.000000,0.000000,0.000000
6,1766416311.026694775,0.686000,0.000000,0.000000,0.000000,0.000000
7,1766416311.037829638,0.784000,0.000000,0.000000,0.000000,0.000000
8,1766416311.049444675,0.882000,0.000000,0.000000,0.000000,0.000000
9,1766416311.061101913,0.980000,0.000000,0.000000,0.000000,0.000000
10,1766416311.071975470,1.078000,0.000000,0.000000,0.000000,0.000000
11,1766416311.084267855,1.176000,0.000000,0.000000,0.000000,0.000000
12,1766416311.094940901,1.274000,0.000000,0.000000,0.000000,0.000000
13,1766416311.106856346,1.372000,0.000000,0.000000,0.000000,0.000000
14,1766416311.117916822,1.470000,0.000000,0.000000,0.000000,0.000000
15,1766416311.129496336,1.568000,0.000000,0.000000,0.000000,0.000000
16,1766416311.140940905,1.666000,0.000000,0.000000,0.000000,0.000000
17,1766416311.152514696,1.764000,0.000000,0.000000,0.000000,0.000000
18,1766416311.163621426,1.862000,0.000000,0.000000,0.000000,0.000000
19,1766416311.175663233,1.960000,0.000000,0.000000,0.000000,0.000000
20,1766416311.186583281,1.771310,0.000000,0.000000,0.000000,0.000000
21,1766416311.198093176,1.515697,0.000000,0.000000,0.000000,0.000000
22,1766416311.209354401,1.291462,0.000000,0.000000,0.000000,0.000000
23,1766416311.220911741,1.095054,0.000000,0.000000,0.000000,0.000000
24,1766416311.232604504,0.923307,0.000000,0.000000,0.000000,0.000000
25,1766416311.244558573,0.773397,0.000000,0.000000,0.000000,0.000000
26,1766416311.256317616,0.642801,0.000000,0.000000,0.000000,0.000000
27,1766416311.268271923,0.529277,0.000000,0.000000,0.000000,0.000000
28,1766416311.279161215,0.430825,0.000000,0.000000,0.000000,0.000000
29,1766416311.290852547,0.345670,0.000000,0.000000,0.000000,0.000000
30,1766416311.302117109,0.272228,0.000000,0.000000,0.000000,0.000000
31,1766416311.313580275,0.209091,0.000000,0.000000,0.000000,0.000000
